Region,Acc-ID,Year,Realized,Budget y,Budget y+1,Slack
AG,30,2011,1502908.761,1493915.87,1558926.92,-8992.890999999829
AG,30,2012,1561508.628,1576616.02,1593247.65,15107.391999999993
AG,30,2013,1623449.7,1593247.65,1629823.0,-30202.050000000047
AG,30,2013,0.0,0.0,1629823.0,0.0
AG,30,2014,1632056.36215,1629823.0,1607797.012,-2233.362149999942
AG,30,2014,1632056.36215,1629823.0,1607797.012,-2233.362149999942
AG,30,2015,1628166.021,1607797.012,1614778.712,-20369.008999999845
AG,30,2016,1608937.04246,1614778.712,1592225.468,5841.669540000148
AG,30,2017,1594447.25285,1592225.468,1622391.228,-2221.784849999938
AG,30,2018,1591412.1184,1622391.228,1652946.81,30979.10959999985
AG,30,2019,1627394.00158,1652946.81,1691499.86,25552.80842000013
AG,30,2020,1659027.64689,1691499.86,1724699.225,32472.213110000128
AG,30,2021,1710857.49536,1724699.225,1824800.673,13841.729640000034
AG,31,2011,298376.281,343315.487,357517.317,44939.206000000006
AG,31,2012,328018.329,369519.868,337659.21,41501.53899999999
AG,31,2013,310293.2,337659.21,367983.0,27366.01000000001
AG,31,2013,0.0,0.0,367201.0,0.0
AG,31,2014,373746.61926,367983.0,371821.081,-5763.619260000007
AG,31,2014,372969.30954,367201.0,371422.081,-5768.309539999988
AG,31,2015,404408.708,371422.081,400961.178,-32986.62699999998
AG,31,2016,402694.05387,400961.178,410371.34115,-1732.875869999989
AG,31,2017,378815.15622,410371.34115,406301.6167,31556.18492999999
AG,31,2018,376240.65035,406301.6167,427424.3518,30060.96635
AG,31,2019,393083.13309,427424.3518,427038.4628,34341.21870999999
AG,31,2020,405094.50992,427038.4628,446347.6857,21943.95288
AG,31,2021,465105.56175,446347.6857,486337.94,-18757.87605000002
AG,34,2011,62520.713,68183.0,58242.123,5662.286999999997
AG,34,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,34,2012,59164.111,58242.123,49626.0,-921.9879999999976
AG,34,2012,562338.93575,563404.3,585249.365,1065.3642500001006
AG,34,2013,48680.3,49626.0,42470.0,945.6999999999972
AG,34,2013,598406.175,585249.365,637609.8250000001,-13156.810000000056
AG,34,2014,37859.70469,42470.0,30190.4,4610.295310000001
AG,34,2014,628730.839195,637609.8250000001,641351.1147500001,8878.985805000062
AG,34,2015,,,,
AG,34,2016,,,,
AG,34,2017,,,,
AG,34,2018,,,,
AG,34,2019,16846.75354,15454.0,13307.08,-1392.7535400000015
AG,34,2020,13513.88183,13307.08,13652.0,-206.8018300000004
AG,34,2021,13314.42335,13652.0,12107.0,337.5766500000009
AG,35,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,35,2011,282095.292,42934.919,23222.77,-239160.373
AG,35,2012,562338.93575,563404.3,585249.365,1065.3642500001006
AG,35,2012,52728.32,19782.77,18539.67,-32945.55
AG,35,2013,598406.175,585249.365,637609.8250000001,-13156.810000000056
AG,35,2013,60693.2,18539.67,27698.6,-42153.53
AG,35,2014,628730.839195,637609.8250000001,641351.1147500001,8878.985805000062
AG,35,2014,53025.47881,27698.6,172084.1904,-25326.87881
AG,35,2015,,,,
AG,35,2016,,,,
AG,35,2017,,,,
AG,35,2018,,,,
AG,35,2019,35788.16852,40787.3,36272.925,4999.131480000004
AG,35,2020,71557.41513,36272.925,35099.99,-35284.49012999999
AG,35,2021,355453.6455,35099.99,117736.178,-320353.6555
AG,36,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,36,2012,562338.93575,563404.3,585249.365,1065.3642500001006
AG,36,2013,598406.175,585249.365,637609.8250000001,-13156.810000000056
AG,36,2013,0.0,0.0,2278579.2,0.0
AG,36,2014,628730.839195,637609.8250000001,641351.1147500001,8878.985805000062
AG,36,2014,2281100.78334,2278579.2,2302243.507,-2521.5833399998955
AG,36,2015,2337764.43,2302243.507,2357274.257,-35520.92299999995
AG,36,2016,2415289.12479,2357274.257,2444318.582,-58014.86778999958
AG,36,2017,2449828.88484,2444318.582,2505940.886,-5510.3028400000185
AG,36,2018,2468926.54291,2505940.886,2587021.515,37014.3430900001
AG,36,2019,2521447.79698,2587021.515,2671028.638,65573.71802000003
AG,36,2020,2726771.84121,2671028.638,2745165.651,-55743.203210000414
AG,36,2021,2922549.08005,2745165.651,2777999.43,-177383.42904999992
AG,37,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,37,2012,562338.93575,563404.3,585249.365,1065.3642500001006
AG,37,2013,598406.175,585249.365,637609.8250000001,-13156.810000000056
AG,37,2013,0.0,0.0,293196.6,0.0
AG,37,2014,628730.839195,637609.8250000001,641351.1147500001,8878.985805000062
AG,37,2014,254995.21963,293196.6,294824.6,38201.38036999997
AG,37,2015,267663.949,294824.6,265638.6,27160.650999999954
AG,37,2016,260387.98963,265638.6,262162.7,5250.61036999998
AG,37,2017,280982.41944,262162.7,273408.973,-18819.71944000001
AG,37,2018,280253.82032,273408.973,290272.3,-6844.847320000001
AG,37,2019,303620.92332,290272.3,316928.8,-13348.623320000012
AG,37,2020,304362.68607,316928.8,303228.7,12566.113929999992
AG,37,2021,282179.67156,303228.7,321373.1,21049.028440000024
AG,39,2011,321373.372,216002.897,211902.2,-105370.47499999998
AG,39,2012,227324.201,208852.2,221942.1,-18472.00099999999
AG,39,2013,208133.1,221942.1,222336.2,13809.0
AG,39,2013,0.0,0.0,222336.2,0.0
AG,39,2014,201908.9806,222336.2,227074.1,20427.2194
AG,39,2014,201908.9806,222336.2,227074.1,20427.2194
AG,39,2015,220910.747,227074.1,205689.05,6163.353000000003
AG,39,2016,195876.98126,205689.05,205492.0,9812.068739999988
AG,39,2017,209250.59652,205492.0,370297.3,-3758.596519999992
AG,39,2018,425417.84453,370297.3,241824.891,-55120.544530000014
AG,39,2019,237174.37713,241824.891,245787.061,4650.513869999995
AG,39,2020,241698.95764,245787.061,259081.952,4088.103359999979
AG,39,2021,424416.69746,259081.952,261461.444,-165334.74546
AG,42,2011,340539.508,341352.365,214180.5,812.8570000000182
AG,42,2012,230221.498,214180.5,234819.8,-16040.997999999992
AG,42,2013,232604.3,234819.8,192033.7,2215.5
AG,42,2013,0.0,0.0,265900.0,0.0
AG,42,2014,167227.33318999998,192033.7,188703.0,24806.36681000004
AG,42,2014,278563.59537,265900.0,280702.02,-12663.595369999995
AG,42,2015,316691.875,280702.02,307965.96,-35989.85499999998
AG,42,2016,335493.24514,307965.96,284368.228,-27527.28514
AG,42,2017,310194.82046,284368.228,284749.8,-25826.59246000001
AG,42,2018,337444.71438,284749.8,295677.921,-52694.91438000003
AG,42,2019,322074.71804,295677.921,302228.321,-26396.79704000004
AG,42,2020,310543.59067,302228.321,300182.814,-8315.269670000009
AG,42,2021,326907.277,300182.814,306683.9835,-26724.46299999999
AG,41,2011,178308.466705,155371.05,162157.625,-22937.41670500001
AG,41,2012,177934.103,161169.875,172328.515,-16764.228000000003
AG,41,2013,180424.7,172328.515,192106.25,-8096.184999999998
AG,41,2013,0.0,0.0,118232.0,0.0
AG,41,2014,172684.380565,192106.25,257084.26,19421.869435
AG,41,2014,65846.99031,118232.0,233395.0,52385.009690000006
AG,41,2015,179322.808,233395.0,73443.0,54072.19200000001
AG,41,2016,124659.33482,73443.0,151783.0,-51216.33482
AG,41,2017,162905.57137,151783.0,270111.0,-11122.57136999999
AG,41,2018,345546.06211,270111.0,125195.51,-75435.06211
AG,41,2019,177860.2044,125195.51,125144.0,-52664.69439999999
AG,41,2020,307284.14139,125144.0,178138.0,-182140.14139
AG,41,2021,390472.17865,178138.0,284338.0,-212334.17865
AG,43,2011,178308.466705,155371.05,162157.625,-22937.41670500001
AG,43,2012,177934.103,161169.875,172328.515,-16764.228000000003
AG,43,2013,180424.7,172328.515,192106.25,-8096.184999999998
AG,43,2014,172684.380565,192106.25,257084.26,19421.869435
AG,43,2015,,,,
AG,43,2016,,,,
AG,43,2017,,,,
AG,43,2018,,,,
AG,43,2019,1419.85087,589.5,413.25,-830.35087
AG,43,2020,3197.85811,413.25,659.25,-2784.60811
AG,43,2021,582.07622,659.25,1347.35,77.17377999999997
AG,44,2011,400772.0855775,378688.288,414183.925,-22083.7975775
AG,44,2012,412943.771,415446.275,426940.87975,2502.504000000016
AG,44,2013,434513.275,426940.87975,452722.125,-7572.395250000001
AG,44,2014,440249.0389325,452722.125,457223.6210825,12473.0860675
AG,44,2015,,,,
AG,44,2016,,,,
AG,44,2017,,,,
AG,44,2018,,,,
AG,44,2019,133073.99288,159632.58345,139001.9287,26558.59057
AG,44,2020,162944.2956,139001.9287,169915.1639,-23942.366900000023
AG,44,2021,334059.85617,169915.1639,226330.47635,-164144.69226999997
AG,45,2011,400772.0855775,378688.288,414183.925,-22083.7975775
AG,45,2011,27273.884,95806.5,119198.9,68532.61600000001
AG,45,2012,412943.771,415446.275,426940.87975,2502.504000000016
AG,45,2012,71257.834,119198.9,80380.419,47941.06599999999
AG,45,2013,434513.275,426940.87975,452722.125,-7572.395250000001
AG,45,2013,81726.0,80380.419,135018.0,-1345.5810000000056
AG,45,2014,440249.0389325,452722.125,457223.6210825,12473.0860675
AG,45,2014,154005.68882,135018.0,112270.3,-18987.68882000001
AG,45,2015,,,,
AG,45,2016,,,,
AG,45,2017,,,,
AG,45,2018,,,,
AG,45,2019,52429.916,62462.84727,98413.71187,10032.93127
AG,45,2020,119934.74239,98413.71187,49698.3403,-21521.03052
AG,45,2021,54060.88924,49698.3403,44116.21005,-4362.548939999993
AG,46,2011,400772.0855775,378688.288,414183.925,-22083.7975775
AG,46,2012,412943.771,415446.275,426940.87975,2502.504000000016
AG,46,2013,434513.275,426940.87975,452722.125,-7572.395250000001
AG,46,2013,0.0,0.0,1517691.9,0.0
AG,46,2014,440249.0389325,452722.125,457223.6210825,12473.0860675
AG,46,2014,1506000.9361,1517691.9,1534069.88433,11690.963899999855
AG,46,2015,1558646.04,1534069.88433,1607134.893,-24576.155670000007
AG,46,2016,1594179.98673,1607134.893,1663537.938,12954.90626999992
AG,46,2017,1703889.05618,1663537.938,1673705.673,-40351.11817999999
AG,46,2018,1706998.56283,1673705.673,1782602.62075,-33292.88983
AG,46,2019,1770647.10312,1782602.62075,1912536.25875,11955.5176299999
AG,46,2020,1918227.42853,1912536.25875,1979176.58475,-5691.16977999988
AG,46,2021,2202467.9044,1979176.58475,2047529.544,-223291.31965
AG,47,2011,400772.0855775,378688.288,414183.925,-22083.7975775
AG,47,2012,412943.771,415446.275,426940.87975,2502.504000000016
AG,47,2013,434513.275,426940.87975,452722.125,-7572.395250000001
AG,47,2013,0.0,0.0,293196.6,0.0
AG,47,2014,440249.0389325,452722.125,457223.6210825,12473.0860675
AG,47,2014,254995.21963,293196.6,294824.6,38201.38036999997
AG,47,2015,267663.949,294824.6,265638.6,27160.650999999954
AG,47,2016,260387.98963,265638.6,262162.7,5250.61036999998
AG,47,2017,280982.41944,262162.7,273408.973,-18819.71944000001
