Year,Region,Acc-ID,Realized,Budget y,Budget y+1,Slack,Alter 0–19,Alter 20–64,Alter 65 und mehr,Geschlecht Mann,Geschlecht Frau,Staatsangehörigkeit Schweiz,Staatsangehörigkeit Ausländer,Zivilstand Ledig,Zivilstand Verheiratet ,Zivilstand Verwitwet,Zivilstand Geschieden ,Zivilstand Unverheiratet ,Zivilstand In eingetragene Partnerschaft ,Zivilstand Aufgelöste Partnerschaft ,Städtischer Kernraum,Einflussgebiet städtischer Kerne,Gebiete ausserhalb des Einflusses städtischer Kerne,Einwanderung,Auswanderung,Wanderungssaldo Ein-und Auswanderung,Zuzüge,Wegzüge,Wanderungssaldo Zu-und Wegzüge,Betreibungshandlungen Verwertungen,Betreibungshandlungen Pfändungsvollzüge,Betreibungshandlungen Zahlungsbefehle,Transferzahlungen von Kantonen an Bund,Transferzahlungen von Kantonen an andere Kantone,Transferzahlungen von Kantonen an Gemeinden,Transferzahlungen von Gemeinden an Kantone,Öffentliche Bildugnsausgaben,Kulturausgaben Kanton,Kulturausgaben Gemeinden,Kulturausgaben Kantone und Gemeinde,"BWS Landwirtschaft, Forstwirtschaft und Fischerei",BWS Bergbau und Gewinnung von Steinen und Erden,"BWS Versorgung, Sammlung, Entsorgung","BWS Transport, IT-Dienstleistung",BWS Finanzdienstleistungen und Versicherungen,BWS Wissenschaft und Kunst sowie sonstige Dienstleistungen,BWS Öffentliche Verwaltung,BWS Private Haushalte als Hersteller,BIP
2021.0,AG,30.0,1710857.49536,1724699.225,1824800.673,13841.729640000034,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,31.0,465105.56175,446347.6857,486337.94,-18757.87605000002,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,33.0,264389.83,236841.03452,201998.18638,-27548.79548000003,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,35.0,355453.6455,35099.99,117736.178,-320353.6555,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,36.0,2922549.08005,2745165.651,2777999.43,-177383.42904999992,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,37.0,282179.67156,303228.7,321373.1,21049.028440000024,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,39.0,424416.69746,259081.952,261461.444,-165334.74546,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,40.0,2595475.35296,2413880.7,2474073.0,-181594.65295999963,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,41.0,390472.17865,178138.0,284338.0,-212334.17865,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,42.0,326907.277,300182.814,306683.9835,-26724.46299999999,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
