Region,Acc-ID,MSE,MAE,RMSE
AG,30.0,8324608871.1068735,91239.29455616628,91239.29455616628
AG,31.0,429103746.207092,20714.819482850726,20714.819482850726
AG,33.0,14368855290.012005,119870.16013175258,119870.16013175258
AG,34.0,8305941480.307431,91136.93806743472,91136.93806743472
AG,35.0,1233645651.102527,35123.292144993,35123.292144993
AG,36.0,150038507900.71057,387348.04491659766,387348.04491659766
AG,37.0,16313306708.451317,127723.55580883002,127723.55580883002
AG,38.0,11825691043.147495,108745.99322801505,108745.99322801505
AG,39.0,3620274330.1902404,60168.71554379602,60168.71554379602
AG,40.0,1792986181.5366845,42343.66754943039,42343.66754943039
AG,41.0,4472935226.375494,66880.00617804617,66880.00617804617
AG,42.0,122694649.94834208,11076.761708565464,11076.761708565464
AG,43.0,1033042664.914439,32140.98108201489,32140.98108201489
AG,44.0,2682036752.106667,51788.38433574335,51788.38433574335
AG,45.0,4561826446.55408,67541.2943802092,67541.2943802092
AG,46.0,141232969174.41003,375809.75130298315,375809.75130298315
AG,47.0,5582992478.449434,74719.42504094524,74719.42504094524
AG,48.0,150070837.00163823,12250.340281054981,12250.340281054981
AG,49.0,3620274330.1902404,60168.71554379602,60168.71554379602
AG,50.0,114600125.40620294,10705.144810146332,10705.144810146332
AG,56.0,410259220.8656997,20254.856722912155,20254.856722912155
AG,57.0,31246122.61217436,5589.823128881124,5589.823128881124
AG,63.0,1037784304.755277,32214.65978021927,32214.65978021927
AG,66.0,19884796.872734677,4459.237252348733,4459.237252348733
AG,67.0,5664411.035616752,2380.0023184057513,2380.0023184057513
AI,30.0,208355.13643355356,456.45934806240257,456.45934806240257
AI,31.0,4301569.294223893,2074.022491253143,2074.022491253143
AI,33.0,2215729.892815321,1488.532798703247,1488.532798703247
AI,34.0,44844777.01741448,6696.624300154107,6696.624300154107
AI,35.0,2042563.0394627221,1429.1826473417323,1429.1826473417323
AI,36.0,226729726.40582994,15057.54715768242,15057.54715768242
AI,37.0,789312.1227551831,888.4323962773888,888.4323962773888
AI,38.0,39696072.49511491,6300.481925624016,6300.481925624016
AI,39.0,274666.0275849141,524.0858971436974,524.0858971436974
AI,40.0,24113510.673264813,4910.550954146063,4910.550954146063
AI,41.0,14003849.816888506,3742.1718048331913,3742.1718048331913
AI,42.0,26490.58204234005,162.75927636340748,162.75927636340748
AI,43.0,532149.0039616313,729.4854377995707,729.4854377995707
AI,44.0,629766.9503604508,793.5785722664459,793.5785722664459
AI,45.0,10479084.902950678,3237.1414709509804,3237.1414709509804
AI,46.0,151104913.1261058,12292.473840773702,12292.473840773702
AI,47.0,8850732.884073304,2975.018131721772,2975.018131721772
AI,48.0,9459219.440205645,3075.584406288607,3075.584406288607
AI,49.0,274666.0275849141,524.0858971436974,524.0858971436974
AI,50.0,121453.55939688173,348.50187861313134,348.50187861313134
AI,52.0,271803.31133659155,521.3475916666265,521.3475916666265
AI,54.0,78686.79592199443,280.51166806746994,280.51166806746994
AI,56.0,7647264.459761901,2765.3687746414403,2765.3687746414403
AI,61.0,20330.598342217432,142.58540718536884,142.58540718536884
AI,63.0,22424.656904186824,149.74864575076072,149.74864575076072
AI,64.0,13385.3793342778,115.69520013500042,115.69520013500042
AI,66.0,401362.0882345135,633.5314421830328,633.5314421830328
AR,10.0,371300034.40553325,19269.147215316334,19269.147215316334
AR,14.0,1010474929.0268017,31787.9683060557,31787.9683060557
AR,20.0,225738781.08320242,15024.605854504218,15024.605854504218
AR,29.0,714901004.9835143,26737.63274831028,26737.63274831028
AR,30.0,3312283.8746597557,1819.9680971543858,1819.9680971543858
AR,31.0,868363.7064317048,931.8603470647868,931.8603470647868
AR,33.0,191450899.70799896,13836.578323704129,13836.578323704129
AR,34.0,121249291.25183873,11011.325590129407,11011.325590129407
AR,35.0,51385939.53867394,7168.398673251505,7168.398673251505
AR,36.0,3402201334.869141,58328.39218484546,58328.39218484546
AR,37.0,97154654.14082257,9856.70604922469,9856.70604922469
AR,39.0,12793795.430889528,3576.84154400073,3576.84154400073
AR,40.0,280378657.75945586,16744.51127263665,16744.51127263665
AR,41.0,436049960.6545091,20881.809324254187,20881.809324254187
AR,42.0,18888974.89390118,4346.144831215497,4346.144831215497
AR,43.0,9738227.3060471,3120.6132900516686,3120.6132900516686
AR,44.0,651195.252837436,806.9666987165183,806.9666987165183
AR,45.0,76489.55352524715,276.5674484194536,276.5674484194536
AR,46.0,1129592006.5146613,33609.4035429768,33609.4035429768
AR,47.0,21269183.73733597,4611.852527709008,4611.852527709008
AR,48.0,171638365.1147989,13101.08259323629,13101.08259323629
AR,49.0,13021467.927130783,3608.5271132597554,3608.5271132597554
AR,50.0,202431962.67974168,14227.858682167942,14227.858682167942
AR,52.0,2135510.9778127703,1461.338762167339,1461.338762167339
AR,54.0,160061237.47334754,12651.53103277811,12651.53103277811
AR,55.0,3734964.622071963,1932.60565612128,1932.60565612128
AR,56.0,4790321.195261877,2188.6802405243843,2188.6802405243843
AR,57.0,381839.0213808091,617.931243247021,617.931243247021
AR,63.0,110335.24192796713,332.1674907753122,332.1674907753122
AR,64.0,36763524.44188645,6063.293201048952,6063.293201048952
AR,67.0,385990.94130057545,621.2816923912819,621.2816923912819
BE,10.0,1109309839124.0034,1053237.7884998256,1053237.7884998256
BE,14.0,93865324901.74362,306374.48474333435,306374.48474333435
BE,20.0,1298042084612.1187,1139316.4988764618,1139316.4988764618
BE,29.0,184389489369.25656,429405.972675342,429405.972675342
BE,30.0,139972674297.2971,374129.2213892108,374129.2213892108
BE,31.0,4450776503.119336,66714.14020370296,66714.14020370296
BE,33.0,222008411.13944724,14899.946682436392,14899.946682436392
BE,34.0,73191798116.75327,270539.8272283644,270539.8272283644
BE,35.0,172411488182.9734,415224.6237676342,415224.6237676342
BE,36.0,2649292651537.546,1627664.7847568449,1627664.7847568449
BE,37.0,56424125458.36424,237537.62956290576,237537.62956290576
BE,38.0,94927923.94545883,9743.096219655168,9743.096219655168
BE,39.0,1077718228.889299,32828.61905242587,32828.61905242587
BE,40.0,2098363489.1135225,45807.89767183736,45807.89767183736
BE,41.0,80600855492.93675,283902.89800024364,283902.89800024364
BE,42.0,33413932734.141262,182794.78311522258,182794.78311522258
BE,43.0,390742928.9298272,19767.218543078518,19767.218543078518
BE,44.0,910569021.4424554,30175.636222662404,30175.636222662404
BE,45.0,52162247474.89054,228390.55907565562,228390.55907565562
BE,46.0,1327189737635.821,1152037.2119145375,1152037.2119145375
BE,47.0,19527194113.96265,139739.73706130497,139739.73706130497
BE,48.0,2312702117.4031696,48090.561624950584,48090.561624950584
BE,49.0,1077733889.3616953,32828.85757015762,32828.85757015762
BE,50.0,22234266674.902714,149111.59134991054,149111.59134991054
BE,51.0,144674.72656770836,380.36131055577715,380.36131055577715
BE,52.0,125374335.24637128,11197.068154046901,11197.068154046901
BE,54.0,148940998.87934917,12204.138596367593,12204.138596367593
BE,56.0,45678467766.04894,213725.21555972038,213725.21555972038
BE,57.0,659722752.0433172,25685.068659501714,25685.068659501714
BE,60.0,21672104.535105918,4655.33076538133,4655.33076538133
BE,61.0,515669.4330983893,718.1012693892062,718.1012693892062
