Region,Acc-ID,Year,Realized,Budget y,Budget y+1,Slack
AG,30,2001,1351749.3175406456,1379288.504508078,2032902.8997764587,27539.1869674325
AG,31,2001,63457.560948848724,282273.94479572773,322279.9599916935,218816.383846879
AG,33,2001,-56850.861642837524,4415909.713806152,-14669472.638549805,4472760.57544899
AG,34,2001,-295224.64459609985,-321827.80142593384,-225401.3973388672,-26603.156829833984
AG,35,2001,1452332.2516403198,-346188.97967529297,-559074.6520614624,-1798521.2313156128
AG,36,2001,-7524092.097686768,-8051078.520202637,-7864250.558532715,-526986.4225158691
AG,37,2001,1942388.789215088,1934819.1347122192,2165477.3774032593,-7569.654502868652
AG,38,2001,-36947415.97833252,312666.0672659874,1924912.2095069885,37260082.04559851
AG,39,2001,1123153.3972473145,118855.36776870489,25800.964534282684,-1004298.0294786096
AG,40,2001,-2326086.4502716064,-25129740.338684082,30660871.03479004,-22803653.888412476
AG,41,2001,962908.5285415649,95346.25638222694,437930.789106369,-867562.272159338
AG,42,2001,341449.3336367607,490416.0939693451,-67917.07842683792,148966.76033258438
AG,43,2001,182515.992061615,-84779.3790550232,-409372.7274951935,-267295.3711166382
AG,44,2001,966224.663936615,-36292.44334411621,457566.35919189453,-1002517.1072807312
AG,45,2001,-547756.0124893188,-325341.29630470276,-278404.9889831543,222414.7161846161
AG,46,2001,-4068761.7239379883,-4731116.763496399,-4556004.784927368,-662355.0395584106
AG,47,2001,1150174.1226482391,1075446.2592468262,1278044.9057750702,-74727.86340141296
AG,48,2001,324751.45678806305,23272068.57357788,-31532241.243164062,22947317.116789818
AG,49,2001,1123153.3972473145,118855.36776870489,25800.964534282684,-1004298.0294786096
AG,50,2001,670197.343963623,421193.5189397335,516298.48405742645,-249003.82502388954
AG,56,2001,99301.03557491302,189030.5021905899,-6649.170570373535,89729.46661567688
AG,57,2001,123938.99940109253,140999.0818247795,132539.74373054504,17060.08242368698
AG,58,2001,-722812.3531837463,-486293.092666626,115430.43584156036,236519.26051712036
AG,60,2001,-40223.73572862148,-25298.398795247078,-5200.22847738862,14925.336933374405
AG,61,2001,22712.569394528866,-57133.226845264435,-47630.857113838196,-79845.7962397933
AG,62,2001,32215.737710528076,33927.37086427212,29850.401329636574,1711.633153744042
AG,63,2001,-389692.8225336075,-459647.6552877426,-443793.7728805542,-69954.83275413513
AG,64,2001,32215.737710528076,33927.37086427212,29850.401329636574,1711.633153744042
AG,65,2001,32215.737710528076,33927.37086427212,29850.401329636574,1711.633153744042
AG,66,2001,81153.60084533691,77377.93262267113,72358.49845695496,-3775.6682226657867
AG,67,2001,67856.20113396645,68373.28326833248,73688.79354763031,517.0821343660355
AG,30,2002,1375730.1965119839,1396305.3996828198,1962737.8959770203,20575.203170835972
AG,31,2002,93370.04699516296,286444.16584920883,320430.5272426605,193074.11885404587
AG,33,2002,-62418.39326953888,3950907.1268081665,-13147482.70791626,4013325.5200777054
