Region,Acc-ID,y,Realized_1yr_lag,Realized_2yr_lag,ds
LU,44,411068.11842,,,2011-01-01
BL,38,4097.4,,,2011-01-01
BL,48,81677.3,,,2011-01-01
BL,39,37176.70000000046,,,2011-01-01
BL,40,0.0146582104127245,,,2011-01-01
BL,31,2151817.0,,,2011-01-01
BL,33,1329620.4,,,2011-01-01
BL,34,1124569.8,,,2011-01-01
BL,36,0.878028602452301,,,2011-01-01
BL,37,368790.8,,,2011-01-01
BL,38,0.1330390401455024,4097.4,,2011-01-01
BL,42,0.031799311523413,,,2011-01-01
BL,43,69332.4,,,2011-01-01
BL,44,0.0289988688947381,,,2011-01-01
BL,45,0.0029227549015228,,,2011-01-01
BL,34,39206.5,1124569.8,,2011-01-01
BL,47,0.1361180864285148,,,2011-01-01
BL,49,15681.8,,,2011-01-01
BL,46,455875.1,,,2011-01-01
BS,56,5766.783333333333,,,2011-01-01
BS,57,5766.783333333333,,,2011-01-01
BS,58,5766.783333333333,,,2011-01-01
BS,60,2312.0,,,2011-01-01
BS,61,2312.0,,,2011-01-01
BS,62,2803.4,,,2011-01-01
BS,63,2803.4,,,2011-01-01
BS,64,2803.4,,,2011-01-01
BS,65,2803.4,,,2011-01-01
BS,66,2803.4,,,2011-01-01
BS,67,2803.4,,,2011-01-01
BL,30,1047746.1,,,2011-01-01
BL,31,407193.4,2151817.0,,2011-01-01
BL,33,73237.8,1329620.4,,2011-01-01
BL,35,24292.4,,,2011-01-01
BL,36,1167975.4,0.878028602452301,,2011-01-01
BL,37,92134.8,368790.8,,2011-01-01
BL,39,15672.5,37176.70000000046,,2011-01-01
BL,40,1514324.7,0.0146582104127245,,2011-01-01
BL,41,65525.3,,,2011-01-01
BL,42,456341.5,0.031799311523413,,2011-01-01
BL,43,44170.7,69332.4,,2011-01-01
BL,45,18378.0,0.0029227549015228,,2011-01-01
BL,47,92134.8,0.1361180864285148,,2011-01-01
BS,54,35905.0,,,2011-01-01
SH,30,174480.07003,,,2011-01-01
SH,34,2891.27342,,,2011-01-01
SH,67,2457.6448,,,2011-01-01
AR,30,74752.0,,,2011-01-01
AR,31,36336.0,,,2011-01-01
AR,34,612.0,,,2011-01-01
AR,34,65890.25,612.0,,2011-01-01
AR,35,65890.25,,,2011-01-01
AR,36,65890.25,,,2011-01-01
AR,37,65890.25,,,2011-01-01
AR,35,320.0,65890.25,,2011-01-01
AR,39,42975.0,,,2011-01-01
AR,42,9180.0,,,2011-01-01
AR,41,18117.5,,,2011-01-01
AR,43,18117.5,,,2011-01-01
AR,44,51304.25,,,2011-01-01
AR,45,51304.25,,,2011-01-01
AR,46,51304.25,,,2011-01-01
AR,47,51304.25,,,2011-01-01
AR,45,1787.0,51304.25,,2011-01-01
AR,49,42975.0,,,2011-01-01
AR,50,58884.0,,,2011-01-01
AR,54,2312.0,,,2011-01-01
AR,56,1904.3333333333333,,,2011-01-01
AR,57,1904.3333333333333,,,2011-01-01
SH,66,2457.6448,,,2011-01-01
SH,31,63333.51936,,,2011-01-01
SH,65,2457.6448,,,2011-01-01
SH,63,2457.6448,,,2011-01-01
SH,34,91167.4943175,2891.27342,,2011-01-01
SH,35,91167.4943175,,,2011-01-01
SH,36,91167.4943175,,,2011-01-01
SH,37,91167.4943175,,,2011-01-01
SH,35,6697.617,91167.4943175,,2011-01-01
SH,39,20953.86166,,,2011-01-01
SH,42,66738.64693,,,2011-01-01
SH,41,34254.36786,,,2011-01-01
SH,43,34254.36786,,,2011-01-01
SH,44,48978.4453775,,,2011-01-01
SH,45,48978.4453775,,,2011-01-01
SH,46,48978.4453775,,,2011-01-01
SH,47,48978.4453775,,,2011-01-01
SH,45,6955.32259,48978.4453775,,2011-01-01
SH,49,20953.86166,,,2011-01-01
SH,50,29403.51675,,,2011-01-01
SH,54,84.85,,,2011-01-01
SH,56,5031.088833333333,,,2011-01-01
SH,57,5031.088833333333,,,2011-01-01
SH,58,5031.088833333333,,,2011-01-01
SH,62,2457.6448,,,2011-01-01
SH,64,2457.6448,,,2011-01-01
BS,50,294672.0,,,2011-01-01
BS,49,275920.1,,,2011-01-01
BS,45,14153.2,,,2011-01-01
SO,42,74178.9,,,2011-01-01
SO,41,89796.1,,,2011-01-01
SO,43,89796.1,,,2011-01-01
SO,44,189724.585,,,2011-01-01
SO,45,189724.585,,,2011-01-01
SO,46,189724.585,,,2011-01-01
SO,47,189724.585,,,2011-01-01
SO,45,20395.04,189724.585,,2011-01-01
SO,50,170294.17,,,2011-01-01
SO,54,8644.54,,,2011-01-01
SO,56,5421.766666666666,,,2011-01-01
SO,57,5421.766666666666,,,2011-01-01
SO,58,5421.766666666666,,,2011-01-01
SO,62,10272.45,,,2011-01-01
SO,63,10272.45,,,2011-01-01
SO,64,10272.45,,,2011-01-01
SO,65,10272.45,,,2011-01-01
SO,66,10272.45,,,2011-01-01
SO,67,10272.45,,,2011-01-01
SO,37,298205.185,,,2011-01-01
SO,35,298205.185,,,2011-01-01
SO,30,411860.2,0.0,,2011-01-01
SO,31,156981.2,0.0,,2011-01-01
SO,34,15916.5,,,2011-01-01
SO,34,298205.185,15916.5,,2011-01-01
SO,36,298205.185,,,2011-01-01
BS,30,1913338.38,,,2011-01-01
BS,31,732142.47,,,2011-01-01
BS,34,70395.48,,,2011-01-01
BS,34,346226.5,70395.48,,2011-01-01
BS,35,346226.5,,,2011-01-01
BS,36,346226.5,,,2011-01-01
BS,37,346226.5,,,2011-01-01
BS,35,74128.24,346226.5,,2011-01-01
BS,39,275920.1,,,2011-01-01
BS,42,265197.26,,,2011-01-01
BS,41,598724.87,,,2011-01-01
BS,43,598724.87,,,2011-01-01
BS,44,137761.42,,,2011-01-01
BS,45,137761.42,14153.2,,2011-01-01
BS,46,137761.42,,,2011-01-01
BS,47,137761.42,,,2011-01-01
AR,58,1904.3333333333333,,,2011-01-01
AR,60,187.5,,,2011-01-01
AR,61,187.5,,,2011-01-01
AR,62,2178.1666666666665,,,2011-01-01
TG,35,3911.0,,,2011-01-01
TG,39,128188.0,,,2011-01-01
TG,42,62308.0,,,2011-01-01
TG,41,75428.0,,,2011-01-01
TG,43,75428.0,,,2011-01-01
TG,44,187709.25,,,2011-01-01
TG,45,187709.25,,,2011-01-01
TG,46,187709.25,,,2011-01-01
TG,47,187709.25,,,2011-01-01
TG,45,10482.0,187709.25,,2011-01-01
TG,49,128188.0,,,2011-01-01
TG,50,100202.0,,,2011-01-01
TG,54,176.0,,,2011-01-01
TG,56,6434.333333333333,,,2011-01-01
TG,57,6434.333333333333,,,2011-01-01
TG,58,6434.333333333333,,,2011-01-01
TG,60,70.0,,,2011-01-01
TG,61,70.0,,,2011-01-01
TG,37,263904.25,,,2011-01-01
TG,36,263904.25,0.0,,2011-01-01
TG,34,263904.25,,,2011-01-01
AG,43,178308.466705,,,2011-01-01
AG,44,400772.0855775,,,2011-01-01
AG,45,400772.0855775,,,2011-01-01
AG,46,400772.0855775,,,2011-01-01
AG,47,400772.0855775,,,2011-01-01
AG,45,27273.884,400772.0855775,,2011-01-01
AG,49,321373.372,,,2011-01-01
AG,50,256157.646,,,2011-01-01
AG,54,0.0,,,2011-01-01
AG,56,19523.296266666664,,,2011-01-01
AG,57,19523.296266666664,,,2011-01-01
AG,58,19523.296266666664,,,2011-01-01
AG,60,4337.21,,,2011-01-01
AG,61,4337.21,,,2011-01-01
AG,62,15270.338591666668,,,2011-01-01
AG,63,15270.338591666668,,,2011-01-01
AG,64,15270.338591666668,,,2011-01-01
AG,65,15270.338591666668,,,2011-01-01
AG,66,15270.338591666668,,,2011-01-01
AG,67,15270.338591666668,,,2011-01-01
TG,30,356597.0,0.0,,2011-01-01
TG,31,136705.0,0.0,,2011-01-01
TG,34,11170.0,263904.25,,2011-01-01
TG,35,263904.25,0.0,3911.0,2011-01-01
TI,30,919950.93385,,,2011-01-01
TI,31,264786.53783,,,2011-01-01
TI,34,48604.253840000005,,,2011-01-01
TI,34,389474.71369,48604.253840000005,,2011-01-01
TI,35,389474.71369,,,2011-01-01
TI,36,389474.71369,,,2011-01-01
TI,37,389474.71369,,,2011-01-01
TI,35,16688.3347,389474.71369,,2011-01-01
TI,39,191879.26281,,,2011-01-01
TI,42,59943.60523,,,2011-01-01
TI,41,204459.111375,,,2011-01-01
TI,43,204459.111375,,,2011-01-01
TI,44,204508.2551175,,,2011-01-01
TI,45,204508.2551175,,,2011-01-01
TI,46,204508.2551175,,,2011-01-01
TI,47,204508.2551175,,,2011-01-01
TI,45,3066.93389,204508.2551175,,2011-01-01
TI,49,191879.26281,,,2011-01-01
TI,50,196953.44793,,,2011-01-01
TI,54,23883.275,,,2011-01-01
AG,41,178308.466705,,,2011-01-01
AG,42,340539.508,,,2011-01-01
AG,35,282095.292,,,2011-01-01
AI,58,1218.7666666666669,,,2011-01-01
AI,62,522.5333333333333,,,2011-01-01
AI,63,522.5333333333333,,,2011-01-01
AI,64,522.5333333333333,,,2011-01-01
AI,65,522.5333333333333,,,2011-01-01
AI,66,522.5333333333333,,,2011-01-01
AI,67,522.5333333333333,,,2011-01-01
SG,30,786167.1346299999,,,2011-01-01
SG,31,463163.60262,,,2011-01-01
SG,34,22734.70206,,,2011-01-01
SG,34,652749.9212524999,22734.70206,,2011-01-01
SG,35,652749.9212524999,,,2011-01-01
SG,36,652749.9212524999,,,2011-01-01
SG,37,652749.9212524999,,,2011-01-01
SG,35,46559.93127,652749.9212524999,,2011-01-01
SG,39,384776.52356,,,2011-01-01
SG,42,241418.93614,,,2011-01-01
SG,41,196860.32206000003,,,2011-01-01
SG,43,196860.32206000003,,,2011-01-01
SG,44,381034.1891875,,,2011-01-01
SG,45,381034.1891875,,,2011-01-01
AI,57,1218.7666666666669,,,2011-01-01
SG,46,381034.1891875,,,2011-01-01
AI,56,1218.7666666666669,,,2011-01-01
AI,50,8842.4,,,2011-01-01
AR,63,2178.1666666666665,,,2011-01-01
AR,64,2178.1666666666665,,,2011-01-01
AR,65,2178.1666666666665,,,2011-01-01
AR,66,2178.1666666666665,,,2011-01-01
AR,67,2178.1666666666665,,,2011-01-01
AI,30,20042.7,,,2011-01-01
AI,31,10357.6,,,2011-01-01
AI,34,19.9,,,2011-01-01
AI,34,24825.075,19.9,,2011-01-01
AI,35,24825.075,,,2011-01-01
AI,36,24825.075,,,2011-01-01
AI,37,24825.075,,,2011-01-01
AI,35,1032.4,24825.075,,2011-01-01
AI,39,6776.2,,,2011-01-01
AI,42,15066.4,,,2011-01-01
AI,41,6384.5,,,2011-01-01
AI,43,6384.5,,,2011-01-01
AI,44,15633.775,,,2011-01-01
AI,45,15633.775,,,2011-01-01
AI,46,15633.775,,,2011-01-01
AI,47,15633.775,,,2011-01-01
AI,45,2104.9,15633.775,,2011-01-01
AI,49,6776.2,,,2011-01-01
SG,47,381034.1891875,,,2011-01-01
SG,45,227827.83897,381034.1891875,,2011-01-01
SG,49,384776.57993,,,2011-01-01
GR,47,293094.0,,,2011-01-01
GR,45,10827.0,,,2011-01-01
GR,49,462998.0,,,2011-01-01
GR,50,178596.0,,,2011-01-01
GR,54,1561.0,,,2011-01-01
GR,56,75878.0,,,2011-01-01
GR,57,75878.0,,,2011-01-01
GR,58,75878.0,,,2011-01-01
GR,60,26.0,,,2011-01-01
GR,61,26.0,,,2011-01-01
GR,62,35305.0,,,2011-01-01
GR,63,35305.0,,,2011-01-01
GR,64,35305.0,,,2011-01-01
GR,65,35305.0,,,2011-01-01
GR,66,35305.0,,,2011-01-01
GR,67,35305.0,,,2011-01-01
AG,30,1502908.761,,,2011-01-01
AG,31,298376.281,,,2011-01-01
AG,34,62520.713,,,2011-01-01
AG,34,525232.192435,62520.713,,2011-01-01
AG,35,525232.192435,282095.292,,2011-01-01
AG,36,525232.192435,,,2011-01-01
AG,37,525232.192435,,,2011-01-01
GR,46,293094.0,,,2011-01-01
GR,45,293094.0,10827.0,,2011-01-01
GR,44,293094.0,,,2011-01-01
GR,43,112591.0,,,2011-01-01
SG,50,160446.88902999996,,,2011-01-01
SG,54,10301.80575,,,2011-01-01
SG,56,9215.3232,,,2011-01-01
SG,57,9215.3232,,,2011-01-01
SG,58,9215.3232,,,2011-01-01
SG,60,27.3318,,,2011-01-01
SG,61,27.3318,,,2011-01-01
SG,62,7688.588723333334,,,2011-01-01
SG,63,7688.588723333334,,,2011-01-01
SG,64,7688.588723333334,,,2011-01-01
SG,65,7688.588723333334,,,2011-01-01
AG,39,321373.372,,,2011-01-01
SG,66,7688.588723333334,,,2011-01-01
GR,30,342731.0,,,2011-01-01
GR,31,274508.0,,,2011-01-01
GR,34,8542.0,,,2011-01-01
GR,34,319681.25,8542.0,,2011-01-01
GR,35,319681.25,,,2011-01-01
GR,36,319681.25,,,2011-01-01
GR,37,319681.25,,,2011-01-01
GR,35,14201.0,319681.25,,2011-01-01
