Year,Canton,Einwohner in 1000,pro km²,Veränderung in %,Ausländer in %,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Landwirtschaftsflächen in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor.1,im 2. Sektor.1,im 3. Sektor.1,Neu gebaute Wohnungen pro 1000 Einwohner,Leerwohnungsziffer,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),FDP,CVP,SP,SVP,BDP,EVP/CSP,GLP,PdA/Sol.,GPS,Kleine Rechtsparteien,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Wohneigentumsquote,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Veränderung in %.1,Veränderung in %.2,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Durchschnittliche Wohnfläche pro Bewohner in m²,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Hochschulabschlussquote,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
2013,ZH,1392.396,838.3,1.4,24.6,19.6,63.9,16.5,95.1,85.0,3.5,5.8,0.3,6.4,27.9,33.9,22.4,20.1,43.4,30.7,5.8,82.2,2.97,90160.1634174536,0.7679606388701407,812.091,13.012,143.231,655.848,74406.0,4227.0,11383.0,58796.0,5.5,0.56,496.0,38.27859361502692,36.61487201434637,3.2,241.0,4.6,173.3,17.9,46.9,33.8,11.6,5.0,19.3,29.8,5.3,3.2,11.5,0.2,8.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,BE,985.046,168.6,0.5,13.7,19.6,61.3,19.1,62.7,85.7,11.0,3.2,0.0,2.8,15.8,56.4,15.2,6.4,43.3,31.0,19.3,82.2,2.01,66509.22474961892,2.921309511258281,542.938,37.394,133.285,372.259,57597.0,12638.0,10141.0,34818.0,4.1,1.18,498.0,27.46285022444061,42.59650565575113,4.2,209.0,5.1,196.4,20.4,53.4,24.9,8.7,2.1,19.3,29.0,14.9,4.2,5.3,0.3,9.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,LU,381.966,267.3,1.2,16.8,21.5,62.3,16.2,50.8,90.7,1.9,3.1,0.0,2.7,65.3,11.0,13.3,8.4,54.8,30.1,6.8,82.0,1.91,60383.403515739104,6.98433947924009,196.749,15.276,51.626,129.847,21622.0,5260.0,3716.0,12646.0,6.5,0.74,506.0,22.54312015503876,46.78003875968992,2.0,150.0,4.1,145.4,23.1,51.0,24.8,18.4,27.1,11.5,25.1,2.1,0.7,6.1,0.0,8.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,UR,35.382,33.5,-0.1,9.8,21.4,60.1,18.5,0.0,94.1,0.0,0.0,0.0,0.0,84.0,0.0,0.0,1.7,24.4,18.2,55.6,80.4,1.34,47643.058182319655,0.8876784887865441,16.601,1.782,5.388,9.431,2140.0,703.0,324.0,1113.0,3.7,0.76,509.0,0.0,54.05510068599247,1.1,96.0,2.1,109.5,30.4,49.5,19.4,74.3,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,SZ,147.904,173.7,0.8,18.9,21.2,63.5,15.4,80.2,90.3,0.0,3.5,0.0,4.0,65.6,11.4,12.8,5.4,41.0,33.7,20.0,81.0,1.31,54604.64876562028,2.023635333372622,64.582,4.723,18.661,41.198,9933.0,1789.0,1937.0,6207.0,6.4,0.79,604.0,17.48313721628674,54.533257840579,1.4,131.0,1.9,105.6,24.4,50.2,24.4,15.5,20.6,15.7,38.0,3.4,1.1,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,OW,35.885,74.7,0.8,13.7,21.7,62.4,15.9,0.0,94.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,3.2,37.9,40.2,18.7,82.0,0.88,58275.95573157006,7.591196615266569,18.414,1.878,6.499,10.037,2582.0,750.0,452.0,1380.0,7.7,0.69,565.0,0.0,54.01761550952124,1.2,114.0,2.2,90.6,25.0,51.6,22.6,0.0,0.0,0.0,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NW,41.311,171.1,0.7,11.8,19.8,63.5,16.8,87.6,95.5,0.0,0.0,0.0,0.0,70.5,0.0,0.0,4.9,37.9,32.9,24.3,82.0,0.9,58939.535277995245,9.217087077716112,19.535,1.432,6.133,11.97,2821.0,528.0,491.0,1802.0,4.3,1.57,594.0,12.35910705670804,59.52370510065348,0.9,116.0,1.9,111.9,19.9,54.0,25.1,35.2,0.0,0.0,45.2,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,GL,39.217,57.6,1.6,21.4,20.2,61.9,17.9,0.0,90.2,0.0,0.0,0.0,0.0,38.9,34.7,0.0,2.6,30.5,30.2,36.7,82.7,2.33,57702.1340079349,2.802486596169317,19.104,1.183,8.104,9.817,2458.0,459.0,515.0,1484.0,4.0,1.38,550.0,18.67138003856395,44.98209530805252,2.0,145.0,4.0,136.7,29.0,51.2,18.0,0.0,0.0,24.6,0.0,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,ZG,115.104,555.8,1.8,24.6,20.7,63.8,15.5,96.2,86.1,3.1,3.6,0.0,7.5,54.9,15.6,17.7,12.2,44.8,27.7,15.3,81.4,1.85,128355.94056081575,7.184698579489898,83.019,1.883,20.658,60.478,10669.0,627.0,1340.0,8702.0,7.5,0.48,610.0,27.12258439482734,42.86659886020568,1.6,197.0,4.5,141.9,17.1,45.8,36.3,19.2,24.3,5.3,28.3,0.0,0.0,6.8,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,FR,284.668,178.6,2.2,19.1,23.7,62.1,14.2,55.8,29.4,68.1,2.0,0.0,2.4,63.0,14.1,12.7,7.3,57.3,26.6,8.8,80.4,2.37,49755.24878464061,2.720988079514274,117.43,9.596,33.514,74.32,14778.0,3381.0,2592.0,8805.0,8.2,0.77,571.0,14.555614327759017,60.75260067000312,2.4,134.0,3.5,125.3,30.7,43.4,24.5,12.8,20.3,26.7,21.5,1.9,6.2,3.5,0.0,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
