Ref-ID,Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
HRM2_ER0030,30,Personalaufwand,1691499.86,1659027.64689,1724699.225,AG,2020,32472.213110000128
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,427038.4628,405094.50992,446347.6857,AG,2020,21943.952879999997
HRM2_neu_ER0033,33,Abschreibungen VV,189745.31546,226698.22921,236841.03452,AG,2020,-36952.91374999998
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,36272.925,71557.41513,35099.99,AG,2020,-35284.49012999999
HRM2_ER0036,36,Transferaufwand,2671028.638,2726771.84121,2745165.651,AG,2020,-55743.203210000414
HRM2_ER0037,37,Durchlaufende Beiträge,316928.8,304362.68607,303228.7,AG,2020,12566.113929999992
HRM2_ER0039,39,Interne Verrechungen,245787.061,241698.95764,259081.952,AG,2020,4088.103359999979
HRM2_neu_ER0040,40,Fiskalertrag,2508376,2585514.11394,2413880.7,AG,2020,-77138.11394000007
HRM2_ER0041,41,Regalien und Konzessionen,125144,307284.14139,178138.0,AG,2020,-182140.14139
HRM2_ER0042,42,Entgelte,302228.321,310543.59067,300182.814,AG,2020,-8315.269670000009
HRM2_neu_ER0043,43,Verschiedene Erträge,413.25,3197.85811,659.25,AG,2020,-2784.60811
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,98413.71187,119934.74239,49698.3403,AG,2020,-21521.03052
HRM2_ER0046,46,Transferertrag,1912536.25875,1918227.42853,1979176.58475,AG,2020,-5691.16977999988
HRM2_ER0047,47,Durchlaufende Beiträge,316928.8,304362.68607,303228.7,AG,2020,12566.113929999992
HRM2_ER0049,49,Interne Verrechnungen,245787.061,241698.95764,259081.952,AG,2020,4088.103359999979
HRM2_neu_ER0034,34,Finanzaufwand,13307.08,13513.88183,13652.0,AG,2020,-206.80183000000034
HRM2_neu_ER0044,44,Finanzertrag,139001.9287,162944.2956,169915.1639,AG,2020,-23942.366900000023
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,40805.479,350795.42554,38998.237,AG,2020,-309989.94654000003
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,36749.7,36741.87129,150679.722,AG,2020,7.828709999994317
HRM2_IR0050,50,Sachanlagen,256276.303,282044.73147,240417.0063,AG,2020,-25768.428469999984
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0,0.0,0.0,AG,2020,0
HRM2_IR0052,52,Immaterielle Anlagen,0,0.0,0.0,AG,2020,0
HRM2_IR0054,54,Darlehen,0,0.0,0.0,AG,2020,0
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0,0.0,0.0,AG,2020,0
HRM2_IR0056,56,Eigene Investitionsbeiträge,88367.97,76105.75532,91658.3,AG,2020,12262.214680000005
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,3478.64,1961.0352,5522.5,AG,2020,1517.6047999999998
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0,0.0,0.0,AG,2020,0
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,621.767,442.1183,0.0,AG,2020,179.64870000000008
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,0,0.0,0.0,AG,2020,0
HRM2_IR0062,62,Abgang immaterielle Anlagen,0,0.0,0.0,AG,2020,0
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,86472.37648,92049.69357,89367.774,AG,2020,-5577.317089999997
HRM2_IR0064,64,Rückzahlung von Darlehen,0,0.0,0.0,AG,2020,0
HRM2_IR0065,65,Übertragung von Beteiligungen,0,0.0,0.0,AG,2020,0
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,127.5,375.66281,137.5,AG,2020,-248.16280999999998
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,3478.64,1961.0352,5522.5,AG,2020,1517.6047999999998
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0,0.0,0.0,AG,2020,0
HRM2_BI0010,10,Finanzvermögen,0,2227895.22371,0.0,AG,2020,0
