Ref-ID,Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
HRM2_ER0003,3,Aufwand,5632413.62126,5999520.59344,5803114.475219999,AG,2020,-367106.9721799996
HRM2_ER0004,4,Ertrag,5685579.03132,5990449.685629999,5804641.22695,AG,2020,-304870.6543099992
HRM2_IR0005,5,Investitionsausgaben gesamt,348122.91300000006,360111.52199,337597.8063,AG,2020,-11988.60898999992
HRM2_IR0006,6,Investitionseinnahmen gesamt,90700.28348000001,94828.50988,95027.774,AG,2020,-4128.226399999985
HRM2_BI0001,1,Aktiven,0.0,3975274.09755,0.0,AG,2020,0.0
HRM2_BI0002,2,Passiven,0.0,3975274.09755,0.0,AG,2020,0.0
HRM2_ER0003,3,Aufwand,167349.9,172545.4,168327.90000000002,AI,2020,-5195.5
HRM2_ER0004,4,Ertrag,165315.1,176167.4,169726.5,AI,2020,-10852.299999999988
HRM2_IR0005,5,Investitionsausgaben gesamt,22100.0,17071.0,32781.0,AI,2020,5029.0
HRM2_IR0006,6,Investitionseinnahmen gesamt,1831.5,2582.5,1601.0,AI,2020,-751.0
HRM2_BI0001,1,Aktiven,0.0,230838.80000000002,0.0,AI,2020,0.0
HRM2_BI0002,2,Passiven,0.0,230838.9,0.0,AI,2020,0.0
HRM2_ER0003,3,Aufwand,506706.9000000001,507463.0,503398.9,AR,2020,-756.0999999999185
HRM2_ER0004,4,Ertrag,516406.4000000001,511220.2,504191.69999999995,AR,2020,5186.20000000007
HRM2_IR0005,5,Investitionsausgaben gesamt,36552.3,24333.100000000002,38595.6,AR,2020,12219.2
HRM2_IR0006,6,Investitionseinnahmen gesamt,14614.099999999999,15133.899999999998,8575.3,AR,2020,-519.7999999999993
HRM2_BI0001,1,Aktiven,375929.20000000007,372050.1,399175.0,AR,2020,3879.100000000093
HRM2_BI0002,2,Passiven,375929.10000000003,372050.19999999995,399175.4,AR,2020,3878.9000000000815
HRM2_ER0003,3,Aufwand,11704750.699999997,11904430.8,11920897.200000001,BE,2020,-199680.10000000335
HRM2_ER0004,4,Ertrag,11923054.2,11944645.9,11372170.9,BE,2020,-21591.700000001118
HRM2_IR0005,5,Investitionsausgaben gesamt,562076.8,510765.8,516265.60000000003,BE,2020,51311.00000000006
HRM2_IR0006,6,Investitionseinnahmen gesamt,115720.0,119932.1,114960.7,BE,2020,-4212.100000000006
HRM2_BI0001,1,Aktiven,13348479.2,12832358.600000001,12731934.3,BE,2020,516120.59999999776
HRM2_BI0002,2,Passiven,13348479.599999998,12832358.599999998,12731934.3,BE,2020,516121.0
HRM2_ER0003,3,Aufwand,2828311.7161999997,2918948.1097500003,2895820.8357800003,BL,2020,-90636.39355000062
HRM2_ER0004,4,Ertrag,2865407.2053,2866953.47831,2894746.3178300005,BL,2020,-1546.2730100001208
HRM2_IR0005,5,Investitionsausgaben gesamt,226594.1,203956.91620999997,232494.161,BL,2020,22637.18379000004
HRM2_IR0006,6,Investitionseinnahmen gesamt,23377.0,24807.47115,28192.0,BL,2020,-1430.4711500000012
HRM2_BI0001,1,Aktiven,0.0,5145821.08047,0.0,BL,2020,0.0
HRM2_BI0002,2,Passiven,0.0,5145821.080469999,0.0,BL,2020,0.0
HRM2_ER0003,3,Aufwand,4404767.80452,4672436.338,4490842.749000001,BS,2020,-267668.5334800007
HRM2_ER0004,4,Ertrag,4420751.33956,5605167.888,4625580.152,BS,2020,-1184416.54844
HRM2_IR0005,5,Investitionsausgaben gesamt,373005.99975,311719.2,452075.103,BS,2020,61286.799750000006
HRM2_IR0006,6,Investitionseinnahmen gesamt,20461.239,27466.717,21964.383,BS,2020,-7005.477999999999
HRM2_BI0001,1,Aktiven,0.0,13513003.62887,0.0,BS,2020,0.0
HRM2_BI0002,2,Passiven,0.0,13513003.62887,0.0,BS,2020,0.0
HRM2_ER0003,3,Aufwand,3720053.9,3937434.0,3785753.0,FR,2020,-217380.1000000001
HRM2_ER0004,4,Ertrag,3720601.6999999997,3938220.0,3786034.0,FR,2020,-217618.30000000028
HRM2_IR0005,5,Dépenses d'investissements total,187878.7,133134.0,209148.0,FR,2020,54744.70000000001
HRM2_IR0006,6,Recettes d'investissements total,35697.0,31088.0,45322.0,FR,2020,4609.0
HRM2_BI0001,1,Actif,0.0,3249656.0,0.0,FR,2020,0.0
HRM2_BI0002,2,Passif,0.0,3249656.0,0.0,FR,2020,0.0
HRM2_ER0003,3,Aufwand,9190662.962000001,9560783.110000001,9426114.7,GE,2020,-370120.14800000004
HRM2_ER0004,4,Ertrag,8606098.951,9062297.600000001,8579208.2,GE,2020,-456198.6490000021
HRM2_IR0005,5,Dépenses d'investissements total,769022.6700000005,576418.876,804017.659,GE,2020,192603.79400000046
HRM2_IR0006,6,Recettes d'investissements total,34173.231999999996,47012.029,59909.172999999995,GE,2020,-12838.797000000006
HRM2_BI0001,1,Actif,0.0,19725249.846210003,0.0,GE,2020,0.0
HRM2_BI0002,2,Passif,0.0,19725249.84621,0.0,GE,2020,0.0
HRM2_ER0003,3,Aufwand,380060.5,407497.3,393824.29999999993,GL,2020,-27436.79999999999
HRM2_ER0004,4,Ertrag,378434.19999999995,408724.30000000005,382596.1,GL,2020,-30290.100000000093
HRM2_IR0005,5,Investitionsausgaben gesamt,53297.0,41230.799999999996,95167.0,GL,2020,12066.200000000004
HRM2_IR0006,6,Investitionseinnahmen gesamt,11379.0,10901.9,11746.0,GL,2020,477.10000000000036
HRM2_BI0001,1,Aktiven,0.0,582796.2999999999,0.0,GL,2020,0.0
HRM2_BI0002,2,Passiven,0.0,582795.9,0.0,GL,2020,0.0
HRM2_ER0003,3,Aufwand,2571008.0,2543754.5999999996,2599371.0,GR,2020,27253.400000000373
HRM2_ER0004,4,Ertrag,2537952.0,2625654.3000000003,2565161.0,GR,2020,-87702.30000000028
HRM2_IR0005,5,Investitionsausgaben gesamt,426932.0,339440.10000000003,404942.0,GR,2020,87491.89999999997
HRM2_IR0006,6,Investitionseinnahmen gesamt,136882.0,138950.3,133309.0,GR,2020,-2068.2999999999884
HRM2_BI0001,1,Aktiven,0.0,4162134.2,0.0,GR,2020,0.0
HRM2_BI0002,2,Passiven,0.0,4162134.1999999997,0.0,GR,2020,0.0
HRM2_ER0003,3,Aufwand,964989.7999999999,994716.7252600001,977051.6,JU,2020,-29726.925260000164
HRM2_ER0004,4,Ertrag,961065.9,960595.5100600002,972373.5,JU,2020,470.38993999978993
HRM2_IR0005,5,Dépenses d'investissements total,62297.5,53876.08651,54417.0,JU,2020,8421.413489999999
HRM2_IR0006,6,Recettes d'investissements total,27832.3,22216.06365,21660.9,JU,2020,5616.236349999999
HRM2_BI0001,1,Actif,0.0,857772.03776,0.0,JU,2020,0.0
HRM2_BI0002,2,Passif,0.0,857772.03776,0.0,JU,2020,0.0
HRM2_ER0003,3,Aufwand,3812147.755,3836398.0195099995,3892477.6515,LU,2020,-24250.26450999966
HRM2_ER0004,4,Ertrag,3831129.156,4048922.01419,3842643.21899,LU,2020,-217792.85819000006
HRM2_IR0005,5,Investitionsausgaben gesamt,231739.45200000002,142876.41144999999,237264.9,LU,2020,88863.04055000003
HRM2_IR0006,6,Investitionseinnahmen gesamt,47371.034,39410.03089,51408.979,LU,2020,7961.003109999998
HRM2_BI0001,1,Aktiven,6274090.238480001,7250921.964819999,7117462.20617,LU,2020,-976831.7263399987
HRM2_BI0002,2,Passiven,6274090.25,7250921.96482,7117462.20617,LU,2020,-976831.7148200003
HRM2_ER0003,3,Aufwand,2448316.843,2502442.86749,2424529.48555,NE,2020,-54126.024490000214
HRM2_ER0004,4,Ertrag,2453671.7169999997,2503243.36898,2432527.2858499996,NE,2020,-49571.65198000008
HRM2_IR0005,5,Dépenses d'investissements total,140761.133,75715.73253999998,140409.51281,NE,2020,65045.40046000002
HRM2_IR0006,6,Recettes d'investissements total,43940.331,23845.15868,55554.812410000006,NE,2020,20095.172319999998
HRM2_BI0001,1,Actif,0.0,3931794.0174399996,0.0,NE,2020,0.0
HRM2_BI0002,2,Passif,0.0,3931794.0174400005,0.0,NE,2020,0.0
HRM2_ER0003,3,Aufwand,426498.30000000005,426788.1,430677.9000000001,NW,2020,-289.79999999993015
HRM2_ER0004,4,Ertrag,426343.69999999995,428031.2,428621.5,NW,2020,-1687.5000000000582
HRM2_IR0005,5,Investitionsausgaben gesamt,57832.9,36121.4,62884.3,NW,2020,21711.5
HRM2_IR0006,6,Investitionseinnahmen gesamt,18128.2,13563.7,26823.699999999997,NW,2020,4564.5
HRM2_BI0001,1,Aktiven,598085.8999999999,617660.8,574136.2000000001,NW,2020,-19574.90000000014
HRM2_BI0002,2,Passiven,598086.0,617660.7,574136.3,NW,2020,-19574.699999999953
HRM2_ER0003,3,Aufwand,320581.8,337089.1,326441.4,OW,2020,-16507.29999999999
HRM2_ER0004,4,Ertrag,318628.0999999999,338059.10000000003,327786.7,OW,2020,-19431.000000000116
HRM2_IR0005,5,Investitionsausgaben gesamt,92464.20000000001,72384.70000000001,76469.3,OW,2020,20079.5
HRM2_IR0006,6,Investitionseinnahmen gesamt,67609.1,59385.59999999999,56959.100000000006,OW,2020,8223.500000000015
HRM2_BI0001,1,Aktiven,0.0,267802.7,0.0,OW,2020,0.0
HRM2_BI0002,2,Passiven,0.0,267803.2,0.0,OW,2020,0.0
HRM2_ER0003,3,Aufwand,5381254.899999999,5475630.865999999,5391597.7,SG,2020,-94375.96600000001
HRM2_ER0004,4,Ertrag,5407224.499999999,5654613.674000001,5364398.1,SG,2020,-247389.1740000015
HRM2_IR0005,5,Investitionsausgaben gesamt,334771.3,205774.894,310364.8,SG,2020,128996.40599999999
HRM2_IR0006,6,Investitionseinnahmen gesamt,25802.100000000002,22906.242,22739.0,SG,2020,2895.858000000004
HRM2_BI0001,1,Aktiven,0.0,3759178.734,0.0,SG,2020,0.0
HRM2_BI0002,2,Passiven,0.0,3759178.022,0.0,SG,2020,0.0
HRM2_ER0003,3,Aufwand,793170.0,855744.9821799999,803932.1,SH,2020,-62574.98217999993
