Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_ER0030,30,Personalaufwand,1769407.06614,1913008.922,AG,2022
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,471235.72459,540895.2865,AG,2022
HRM2_neu_ER0033,33,Abschreibungen VV,176835.45829,162266.45182,AG,2022
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,140826.08142,71658.66665,AG,2022
HRM2_ER0036,36,Transferaufwand,3067152.26254,2930677.5,AG,2022
HRM2_ER0037,37,Durchlaufende Beiträge,316264.69522,379636.5,AG,2022
HRM2_ER0039,39,Interne Verrechungen,269427.09054,281225.641,AG,2022
HRM2_neu_ER0040,40,Fiskalertrag,2692885.1047,2597138.0,AG,2022
HRM2_ER0041,41,Regalien und Konzessionen,391628.14474,71760.6,AG,2022
HRM2_ER0042,42,Entgelte,328542.18477,319770.575,AG,2022
HRM2_neu_ER0043,43,Verschiedene Erträge,574.45606,944.25,AG,2022
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,17880.85735,6377.9,AG,2022
HRM2_ER0046,46,Transferertrag,2083501.6064,2165878.984,AG,2022
HRM2_ER0047,47,Durchlaufende Beiträge,316264.69522,379636.5,AG,2022
HRM2_ER0049,49,Interne Verrechnungen,269427.09054,281225.641,AG,2022
HRM2_neu_ER0034,34,Finanzaufwand,15865.61211,10349.0,AG,2022
HRM2_neu_ER0044,44,Finanzertrag,251912.01292,164283.552,AG,2022
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,176417.15957,24945.46,AG,2022
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,47136.39842,345756.6425,AG,2022
HRM2_IR0050,50,Sachanlagen,242845.32471,255864.03635,AG,2022
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,0.0,AG,2022
HRM2_IR0052,52,Immaterielle Anlagen,0.0,0.0,AG,2022
HRM2_IR0054,54,Darlehen,0.0,0.0,AG,2022
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0.0,0.0,AG,2022
HRM2_IR0056,56,Eigene Investitionsbeiträge,46836.9488,49195.0,AG,2022
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,2133.33315,3499.6,AG,2022
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,AG,2022
