Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_ER0003,3,Aufwand,6403431.150420001,6314663.42797,AG,2022
HRM2_ER0004,4,Ertrag,6399752.551120001,6332772.6445,AG,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,291815.60666,308558.63635,AG,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,81104.19039000002,73268.71800000001,AG,2022
HRM2_BI0001,1,Aktiven,4865841.580569999,0.0,AG,2022
HRM2_BI0002,2,Passiven,4865841.58057,0.0,AG,2022
HRM2_ER0003,3,Aufwand,188679.70000000004,182099.4,AI,2022
HRM2_ER0004,4,Ertrag,194305.40000000002,177124.5,AI,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,19883.8,18534.0,AI,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,2143.1000000000004,1837.0,AI,2022
HRM2_BI0001,1,Aktiven,244667.8,0.0,AI,2022
HRM2_BI0002,2,Passiven,244667.9,0.0,AI,2022
HRM2_ER0003,3,Aufwand,517422.00000000006,554391.0,AR,2022
HRM2_ER0004,4,Ertrag,565910.9,557149.8999999999,AR,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,35012.7,72708.0,AR,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,10760.6,12525.2,AR,2022
HRM2_BI0001,1,Aktiven,431262.19999999995,383238.3,AR,2022
HRM2_BI0002,2,Passiven,431262.0,383238.4,AR,2022
HRM2_ER0003,3,Aufwand,11868765.4,12550034.5,BE,2022
HRM2_ER0004,4,Ertrag,12226581.1,12550136.499999998,BE,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,713060.3,556373.4,BE,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,358894.7,85273.9,BE,2022
HRM2_BI0001,1,Aktiven,12225022.6,12416931.2,BE,2022
HRM2_BI0002,2,Passiven,12225022.6,12416931.1,BE,2022
HRM2_ER0003,3,Aufwand,3159933.6733399993,3078719.54148,BL,2022
HRM2_ER0004,4,Ertrag,3254903.3465299997,3069149.2107899995,BL,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,181451.854,217468.0,BL,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,27767.613,24369.0,BL,2022
HRM2_BI0001,1,Aktiven,5204588.011530001,0.0,BL,2022
HRM2_BI0002,2,Passiven,5204588.011,0.0,BL,2022
HRM2_ER0003,3,Aufwand,4954208.15648,4952964.420999999,BS,2022
HRM2_ER0004,4,Ertrag,5171548.85431,4995230.757999999,BS,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,446771.766,440910.282,BS,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,29847.1,21201.359,BS,2022
HRM2_BI0001,1,Aktiven,13288228.73271,0.0,BS,2022
HRM2_BI0002,2,Passiven,13288228.73271,0.0,BS,2022
HRM2_ER0003,3,Charges,4516843.0,4051538.0,FR,2022
HRM2_ER0004,4,Revenus,4517337.0,4051641.0,FR,2022
HRM2_IR0005,5,Dépenses d'investissements total,228738.0,283847.0,FR,2022
HRM2_IR0006,6,Recettes d'investissements total,41389.0,51192.0,FR,2022
HRM2_BI0001,1,Actif,3334424.0,0.0,FR,2022
HRM2_BI0002,2,Passif,3334424.0,0.0,FR,2022
HRM2_ER0003,3,Charges,10556938.200000001,10051329.600000001,GE,2022
HRM2_ER0004,4,Revenus,11283815.799999999,9574894.3,GE,2022
HRM2_IR0005,5,Dépenses d'investissements total,571318.49,723601.971,GE,2022
HRM2_IR0006,6,Recettes d'investissements total,88371.23000000001,39778.029,GE,2022
HRM2_BI0001,1,Actif,20371313.08316,0.0,GE,2022
HRM2_BI0002,2,Passif,20371313.083159998,0.0,GE,2022
HRM2_ER0003,3,Aufwand,443827.714,430028.10000000003,GL,2022
HRM2_ER0004,4,Ertrag,447436.91099999996,415546.3,GL,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,42949.3,63301.0,GL,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,16272.8,23305.0,GL,2022
HRM2_BI0001,1,Aktiven,577558.89869,0.0,GL,2022
HRM2_BI0002,2,Passiven,577558.89869,0.0,GL,2022
HRM2_ER0003,3,Aufwand,2594039.4999999995,2814323.0,GR,2022
HRM2_ER0004,4,Ertrag,2799624.4999999995,2803118.0,GR,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,338417.60000000003,451154.0,GR,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,142050.30000000002,150082.0,GR,2022
HRM2_BI0001,1,Aktiven,4616336.9,0.0,GR,2022
HRM2_BI0002,2,Passiven,4616336.9,0.0,GR,2022
