Canton,Year,Einwohner in 1000,pro km²,Veränderung in %,Ausländer in %,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Landwirtschaftsflächen in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Wohneigentumsquote,Neu gebaute Wohnungen pro 1000 Einwohner,Leerwohnungsziffer,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien
ZH,2014,1408.575,848.0487188132,2.5859607827,24.9261132705,19.5791491401,63.7890066202,16.6318442397,95.1424666773,652.0,2.1,83.8838251328881,3.208140248057789,5.817602562355186,0.31816478124574077,6.374795556767071,27.449400299850076,32.146057652991686,24.210082458770614,21.8585335099,41.655628756,30.3524226527,6.1334150814,82.5472573392894,3.1972310851,92553.268342364,1.2989233147,955.8594143123,12.2369631983,146.49541362440002,797.1270374896001,107793.0,3977.0,13430.0,90386.0,29.0,5.4374101486,0.6006438764,498.3237527255,38.79389108603348,37.90323523945555,3.1711,250.3211567181,4.4999213477,170.3652054948,16.89793637504014,45.208433785201,36.361942995404355,11.6448257808,5.030528911,19.2682401358,29.8435988277,3.2265779231,11.4851313646,5.2784501544,0.2386951747,8.392127615,2.4500335381
BE,2014,992.617,169.9346192629,1.3079173139,14.0048981631,19.3670872048,61.1979242749,19.4349885202,62.841458488,455.0,2.12,85.1489998215571,10.617232793733182,2.902271973326978,0.10547250721855424,2.9753257780529605,15.575430448586289,55.49933473133565,16.209321905003705,6.913494891,42.5801341484,31.3315668384,19.1748041221,82.56919779546847,2.3331066001,67703.716644467,1.3668724612,617.5271927019,35.707679617000004,131.8129968388,450.00651624610003,80021.0,12041.0,12091.0,55889.0,39.1,3.8977772897,1.2314231425,504.3967489843,28.043492937461085,43.70653894335716,4.22133,212.0191905583,5.0905534189,195.7279880344,19.543823134723368,51.99833052092446,27.18860000082921,8.6538737308,2.0662449158,19.3210129931,29.002852222,4.1734758748,5.2885971913,14.8786369277,0.3425051771,9.4102171057,3.667207483
LU,2014,386.082,270.1555513571,2.2435846508,16.9533933206,21.2444506607,62.3846747582,16.370874581,50.8604389741,162.0,2.31,90.3803356068123,1.6939974521176533,2.778568991583224,0.2322104068786563,2.941019966758587,64.78569930606201,11.036337059167838,13.802385744379166,9.6322534853,53.4524782044,29.933307442,6.9819608683,81.36393784528798,1.9613362923,60905.281119043,1.3349998403,231.85869094150002,14.5001918677,53.9579417268,163.400557347,29799.0,5070.0,4564.0,20165.0,34.6,6.5840935345,0.7027434128,513.5823607337,22.50772181478115,49.90886116914701,2.06013,157.7769257075,3.9452332967,141.8218653001,21.682122968938554,49.758837400684186,27.315031792131492,18.3749611967,27.1255370274,11.4572298777,25.1040404283,0.7455175801,6.1178235372,2.1372808396,0.0,8.2685292221,0.2127045376
UR,2014,35.693,33.7573533584,0.7650612614,10.520270081,21.0461435015,60.2695206343,18.6843358642,0.0,15.0,2.37,94.05561207188877,0.6563466598847068,2.7022558494404887,0.0,1.5750981349610038,81.61749745676501,4.699898270600204,8.053577483892845,1.8552582683,24.1759568933,20.0975473802,53.8712374582,78.57050924535586,1.2558001511,48732.916915304,3.6865562527,17.9496314011,1.7086666666,5.5802064878,10.660758246699999,2741.0,660.0,397.0,1684.0,44.8,4.1184545989,0.6725211205,521.2820078006,9.681535730137595,55.54260985352863,1.12769,95.2541043313,2.0452189505,104.5374604291,31.825582780667965,50.41896668122791,17.259044517691912,74.2680412371,0.0,21.4680412371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ,2014,149.83,175.9518049651,2.112724051,19.3379163051,20.8389508109,63.4412333979,15.7198157912,80.311019155,62.0,2.34,89.60595593951099,2.0459517722766725,2.8192942948959394,0.49591617447889536,3.797792968593478,63.79554907319106,11.27317022350801,14.39699318016076,6.0588708168,40.5521479149,33.7345417304,19.6544395379,81.54627265578736,1.5083826725,54317.263848322,0.8149642468,75.5656372319,4.7888059441,19.748956550899997,51.027874736899996,13849.0,1775.0,2300.0,9774.0,41.2,9.0302342655,0.7371589421,616.3998269148,16.227410091864623,56.5864406371528,1.44553,132.1735879789,1.707158524,102.5277596781,23.285575703305724,47.94231773748228,27.57909857473323,15.4751022922,20.5635942563,15.6553213033,37.9821566114,1.1061551218,0.0,3.4450715004,0.0,3.8304870962,0.0
OW,2014,36.115,75.1315816847,1.4893915976,13.8003599612,21.3816973557,62.4172781393,16.2010245051,0.0,15.0,2.33,92.5552915983538,1.2924840231538797,1.8737654164017798,0.0,2.779975808880115,73.9953826078228,7.250644092749356,12.098905878810186,3.8303944552,36.8627051269,40.7012536948,18.6056467231,84.39620636088627,0.9219858156,58082.60227758,1.0584492655,21.6028418783,1.8460164835000001,7.1186692733,12.6381561215,3641.0,710.0,562.0,2369.0,49.0,10.3004291845,0.6503902341,576.8705587293,11.646280519727762,56.97015848841083,1.19549,113.5388108886,2.1043887581,84.5,22.569335014182162,49.88181531673495,26.240939174283014,0.0,0.0,0.0,43.1020147106,0.0,0.0,0.0,0.0,0.0,0.0
NW,2014,41.584,172.1904761905,1.3650546022,12.4711427472,19.3415736822,63.2623124279,17.39611389,87.4975952289,18.0,2.26,92.92175935116127,1.665821257408615,2.4021023452343817,0.0,2.645120778152738,68.82851714261407,10.710943481836486,13.935286277401243,5.3683981743,37.0173150764,33.3043541259,24.3099326233,80.2702417396812,1.0075063504,58967.965377355,2.2107868335,22.2098483361,1.3917777778,6.1586731046,14.659397453699999,3961.0,513.0,578.0,2870.0,39.2,4.496921893,2.3665167221,601.2200140398,14.807624426403105,59.26138369219908,0.88112,127.4620619995,1.8516737207,112.4313891067,22.029214370311884,50.911304118963024,26.26332412159495,35.202020202,0.0,0.0,45.2300785634,0.0,0.0,0.0,0.0,19.5679012346,0.0
GL,2014,39.369,57.8369007918,1.9710940738,21.7785567325,19.8811247428,62.0462800681,18.0725951891,0.0,17.0,2.26,87.2936695084346,0.7654643267428501,6.297236834149586,0.0,1.2295051393675556,34.826773081806635,35.479775077090515,15.031138521071407,2.910709075,30.0320980449,30.8257951561,36.231397724,84.03922308127476,2.4763619991,58570.874092819,2.6152358228,21.3805961527,1.102,8.282795419,11.9958007337,3322.0,414.0,615.0,2293.0,50.6,3.2004876934,1.5958191405,556.442359181,13.721500254358785,55.954307912870554,1.97363,144.8170731707,3.7566585489,139.0069478024,29.364149536691873,50.65147158021799,17.289736216139453,0.0,0.0,24.5584114996,0.0,0.0,0.0,61.7127542941,0.0,0.0,0.0
ZG,2014,116.575,562.8923225495,3.0679457142,25.2669954965,20.5258417328,63.7289298735,15.7452283937,96.2813639288,50.0,2.25,84.68876280242665,2.6550501762109984,4.420260647588338,0.20116760198017758,8.424022571543732,54.37633708492233,14.217798861087857,19.609545365289016,13.8488605898,43.4190683646,27.341655496,15.3904155496,80.91236796161624,2.1045081223,125138.2269132,-0.3054882541,103.64100095970001,1.9101734724000001,22.1169505029,79.61387698440001,17023.0,610.0,1647.0,14766.0,34.7,8.3722925155,0.350343856,617.3634278565,26.811206000063027,46.221598966375694,1.66719,193.8932214587,4.2935261267,142.1535831905,15.074740009001966,43.99237201809869,39.71762253334281,19.2297176096,24.2913589597,5.2717442433,28.3119705469,0.0,6.7902265665,0.0,0.0,15.3631231774,0.0
FR,2014,291.395,182.8291954499,4.6327914885,20.0037749447,23.466085554,62.1180871326,14.4158273134,55.7943684689,116.0,2.4,28.7690880305068,68.54454299382033,2.5246420728281778,0.0,2.5352820006469075,63.13775727345466,12.944536184266527,14.311554110416916,8.3760264298,56.2776806876,26.9582964257,8.3879964569,80.23754132484389,2.7449205654,50235.255207245,1.9444221751,139.2515315057,8.943972222300001,35.7343213702,94.5732379132,20430.0,3150.0,3346.0,13934.0,43.3,6.8601039826,0.6564518887,576.8544409628,16.213411934202615,62.096449082365694,2.44179,132.8413284133,3.2586469385,122.4449409179,28.872187282326696,42.22735945244753,27.300901482954604,12.8109707112,20.2669465854,26.6884420056,21.4500687115,6.155133338,3.5419795313,1.8847405524,0.0,4.9535555721,0.7063824801
SO,2014,259.283,328.002884287,1.5664906535,19.9935977291,19.7753034329,61.9948087611,18.229887806,77.5318860087,114.0,2.23,89.87749986277058,2.6151354911898705,4.425191663769601,0.10201877756024373,2.524106636415201,34.9806963936106,24.560865826212652,26.581340457065487,13.858142212,42.3005401576,42.7470873234,1.094230307,80.05842841369157,2.7053081218,60178.070372787,2.2507099675,135.9272181774,4.674483706899999,39.592545772099996,91.6601886984,18235.0,1654.0,3230.0,13351.0,48.6,5.7659005797,1.8694754754,568.0065372193,18.590402867973317,57.67388557491699,3.30947,160.481444333,2.9769767091,120.3394328195,21.60882440666411,52.990114619285016,23.80054540031531,18.409755019,17.862173433,18.2994944497,24.3289759794,1.4620766781,4.9733271938,4.3633284622,0.0,7.4941800751,0.4857089055
BS,2014,187.425,5065.5405405405,1.3381995134,33.575030012,16.5527544351,62.8261971455,20.6210484194,100.0,95.0,1.9,80.15539781463978,5.6466645327709895,5.4816014259444055,0.15095656894679696,8.59646149887343,19.868451607639347,17.845644028543994,43.82519628702152,70.8929053143,12.1122201241,12.4629080119,4.5319665498,76.18124290118449,3.7257987906,156794.791399,3.4645380025,184.21092733519998,0.104,35.7030748041,148.4038525311,16720.0,21.0,1552.0,15147.0,14.9,1.4405762305,0.3325441934,361.6332447451,46.54982596221212,17.339279161060016,5.99501,414.5658263305322,11.6656269814,378.8589167202,21.005476064299593,39.36336336336336,37.57639992934111,12.3081213409,6.5276682668,29.1218700246,16.5232160678,2.4982122171,5.8257270905,2.2308795413,0.0,13.4382731693,0.5119256511
BL,2014,276.537,534.3090656156,0.7773210303,20.1108712397,19.5138444403,60.1011799506,20.3849756091,91.787717376,124.0,2.2,88.50262344754388,3.347998390838048,5.658600885039074,0.13365579341099537,4.237745119018069,28.235228663625236,33.32848302248547,25.665277195264956,17.4370072654,40.5163085485,41.3317359716,0.7149482146,79.5342700632404,2.6972391628,70270.5286017,1.6935012702,142.9563894093,3.5025657601,39.3982247755,100.0555988737,18775.0,1049.0,3073.0,14653.0,45.2,2.8856897992,0.3680568543,514.0107495642,34.42704075046259,42.81523875095027,2.49782,223.4782325692403,4.5413428043,135.9384087973,18.667275440870352,51.33684851341267,28.599622952751268,11.4510630555,8.2443330133,24.443908658,26.9459408124,3.286214794,5.0012180852,6.3522430142,0.0,13.599532039,0.6755465284
SH,2014,77.955,261.4623511655,2.0941379852,24.0600346354,19.1713167853,60.9800525944,19.8486306202,75.7680713232,35.0,2.17,88.7642496091319,1.7683935700299034,4.292718468707783,0.0,3.5762534343265684,22.295420391930662,39.451114922813034,22.448731765813083,11.3969849246,43.8860971524,43.3534338358,1.3634840871,81.74273052402425,2.7534895234,77429.98210631,3.9938707847,43.8591412105,1.9121685678,13.686814364,28.2601582787,6502.0,645.0,983.0,4874.0,42.5,4.0792765057,1.1483375959,548.8015141498,28.307958311320302,47.31040776139474,2.32438,196.2645594951,3.7807551424,141.1144209318,19.833136366041664,51.25853279946378,27.922318452013474,12.2932854157,5.2279742355,34.5626824799,39.8618612901,0.0,0.0,0.0,0.0,0.0,3.7831763477
AR,2014,53.438,220.0362348678,0.7940849162,14.6637224447,21.0000374266,60.8873835099,18.1125790636,53.1681574909,23.0,2.32,92.19590958019376,0.9921088984571225,2.697793326157158,0.0,2.0640463984571227,31.375583064226767,40.276282741298886,16.155364190886257,9.1833374496,54.7995389808,34.4899975303,1.5271260394,83.03654056479431,1.7038256188,49328.814276181,2.7169761835,25.4846804773,1.7953666667,7.5586971443,16.1306166663,5023.0,785.0,838.0,3400.0,45.6,4.079493993,1.677508954,546.6584135202,16.77480721540918,51.6560790841458,1.91698,160.9492261337,9.346742634,307.0322526253,23.34515992374497,51.89578479135776,23.705253124338064,51.5102790858,10.5662110945,0.0,30.5041920294,0.0,0.0,0.0,0.0,6.397151717,0.0
