Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
ZH,2016,1446.354,5.3373904279,870.8411856437,19.6025316071,63.5730256908,16.8244427021,99.3247158026,25.8089651634,5.8985505026,2.2173535774,11.7581023242,7.3268771945,645.184,2.2,83.49295143007193,3.1792957583819526,5.6555469290692075,0.29681294883369624,6.550622160740945,27.731231280594876,31.115876753080457,25.013213697736347,21.8601960841,18.3113142571,41.6542788559,-7.5815517286,30.3508112329,6.1347138271,83.1328,3.5418688967,96777.69718,2.89104,978.455,11.577,145.134,821.744,112434.0,3792.0,13389.0,95253.0,10.598843989,20.1589493844,0.7761293118,28.6,44.27,6.7041355615,2769.827,4812.869,497.3616978292,44.5763236487,42.3673397118,3.1896,253.7181218635,4.4147466009,135.2485868493,6.3132171,17.1413176971,44.9404485129,37.918329663,22.5,15.3216,4.1839,21.392,30.6816,3.1175,8.1599,3.6228,0.24,6.8892,2.2369,69.4692109225,9.5493771474,5.4477677901
BE,2016,1009.418,3.0226515153,172.8307507919,19.122306121,60.9435337987,19.9341600804,74.3763237826,15.0089457489,5.2220645656,2.0440652728,9.6792210072,9.062520049,453.782,2.18,85.10031549642821,10.402700925321414,3.111915014561831,0.08550393211059143,2.8799008677638285,16.30092627277776,53.87389894362805,16.901237606983972,6.9129442561,19.3141996583,42.578783099,-3.1678490606,31.3323488942,19.1759237507,83.5971,2.5881352955,76028.75745,1.46681,620.851,34.24,132.774,453.837,78835.0,11563.0,11925.0,55347.0,10.6436080509,17.3740375397,1.4692398536,40.0,44.74,4.3913746491,2452.7,4963.424,511.3879120846,30.959621736,50.9760873877,4.27053,217.2008830722,4.8576403727,151.4669708104,5.3604711,19.4365734692,52.7840905204,27.7796096513,23.6,9.3306,1.8348,19.6774,33.1227,4.3075,5.9978,11.756,0.5208,8.5068,3.2853,58.7507403017,13.4667490944,3.3177499623
LU,2016,394.604,4.5004104764,276.112907063,20.829236399,62.3675887725,16.8031748284,63.9633658047,17.5538007724,5.2742011305,1.6943689622,10.5815252633,7.3889774292,167.237,2.32,89.80862617737041,1.5800148801713998,2.8309371729526642,0.17720370090238052,2.8926806227444346,63.24968124944045,10.854807190642163,15.48247875253534,9.6338262081,31.7187070781,53.4494535519,-3.9628974627,29.9320957891,6.9846244509,82.8166,2.0565786662,63859.53158,1.83882,239.154,14.084,56.574,168.496,30920.0,4913.0,4596.0,21411.0,7.7652137918,16.2226024652,0.927891419,34.5,45.09,7.5701487643,1089.328,1919.902,523.3419324758,25.6090322561,56.2332323971,2.1696,162.4549193935,3.9322801903,107.4730561626,6.21233062,21.9616513828,48.8096705209,29.228315633,24.4,18.4659,23.8516,13.5591,28.515,0.631,5.7691,1.3672,0.0,7.0727,0.0873,57.6637829225,5.5002062257,2.0596952983
UR,2016,36.008,1.6543391113,34.0543045481,20.6398578094,60.1866251944,19.1735169962,88.147078427,11.5085536547,4.6749126932,1.140901312,9.0159030512,8.9045956061,14.819,2.38,92.95357371309295,0.8921657745008922,2.289331044002289,0.0,1.8112648554018111,79.8000201999798,5.595394404605596,8.605191394808605,1.855430642,23.5767326733,24.1763448853,-5.5186435755,20.0984855524,53.8697389204,80.0424,1.0773143504,51198.5804,-0.03641,18.147,1.639,5.294,11.214,2770.0,628.0,415.0,1727.0,13.692963328,11.1751993355,1.249932363,46.1,44.19,6.3850550676,134.459,244.489,530.266276314,9.4775692237,67.5689168585,1.17663,91.6081392444,2.119057577,101.4917050049,5.93766865,33.9312465505,49.7279823386,16.3407711109,21.9,0.0,26.8469,0.0,44.0845,0.0,0.0,0.0,0.0,26.2828,0.0,28.7466889725,1.9796458943,3.7083507598
SZ,2016,152.759,4.1089075172,179.4167390947,20.2560896576,63.3029805118,16.4409298306,81.8387132673,19.9399053411,5.0303299305,1.8345909158,10.1592937811,7.0227351186,64.296,2.34,90.15954497203606,1.911529381941474,3.137823407322908,0.372324413391004,4.74832454013974,62.7675586608996,11.875564427967108,14.15387296607887,6.0603724547,31.4695340502,40.5438146317,-3.5009564739,33.7367708115,19.6590421021,82.5459,1.6605919143,57852.43217,1.64214,78.117,4.502,20.688,52.927,14455.0,1730.0,2416.0,10309.0,11.3816599159,14.8446083789,0.8858479406,42.7,47.59,9.7162408518,317.623,592.931,623.9134455336,19.5087608275,65.037927474,1.50731,138.7661593847,1.7270321078,90.451531084,5.02047069,22.5726904674,49.6899153478,27.7364740523,21.8,20.6033,19.4539,13.0872,42.6342,0.0,2.815,0.0,0.0,1.4064,0.0,30.7339691934,5.0199476869,1.9749531031
OW,2016,36.834,3.5099058592,76.6321308201,20.8964543628,62.0432209372,17.0603247,27.7786827388,14.1852636151,4.7994982343,1.4180335692,10.7716011508,6.9538184644,15.22,2.38,92.53475088321721,1.1225938521477863,1.588140126126721,0.0,1.7433222174530325,74.20675537359263,7.752501073067652,10.730676527883249,3.8296918311,34.2142857143,36.857981412,-4.3278133432,40.6958258601,18.6165008968,82.1997,0.9074598958,63839.41603,-0.29058,21.53,1.78,7.196,12.554,3662.0,691.0,558.0,2413.0,31.232411166,11.8589712557,0.5389919394,50.3,45.93,6.3823376339,340.596,625.238,587.668118443,15.0797830388,65.6318092539,1.1039,108.5864755545,2.136576547,75.9306434382,5.11751744,23.9311601225,50.5639753479,25.5048645296,23.4,0.0,0.0,0.0,34.529,0.0,0.0,0.0,0.0,0.0,0.0,42.156298792,3.8074889747,0.6026241543
NW,2016,42.08,2.5741029641,174.3598243142,18.6763307985,62.7542775665,18.569391635,50.5703422053,13.586026616,4.7399009146,1.953125,8.9796112805,7.1455792683,18.154,2.28,92.66546397564551,2.4354493178486867,3.1796143871913407,0.0,4.030894125606044,68.70278498139587,11.745969105874394,13.411884090652837,5.370732768,27.7586206897,37.0261651084,-3.4486016629,33.311589476,24.2915126477,84.3723,1.0952569842,67822.74022,3.10767,23.243,1.35,6.8,15.093,4019.0,488.0,578.0,2953.0,17.1459262383,13.1798249453,1.4028725486,41.9,47.81,6.398013751,123.798,202.916,613.660236822,13.4702460722,73.2164370888,0.93344,123.56827147,1.8382352941,84.4155844156,5.29608295,19.4338577804,53.1287664093,27.4373758103,23.0,0.0,0.0,0.0,82.8175,0.0,0.0,0.0,0.0,0.0,0.0,34.4490068755,3.0557677617,0.9310542399
GL,2016,39.794,3.0719021964,58.4552558905,19.4476554254,61.7480022114,18.8043423632,75.4711765593,22.6064230789,4.7866779196,1.7635129177,9.5229697558,9.3718115057,17.203,2.26,87.8374279648165,0.4913557779799818,5.878070973612375,0.0,2.314225053078556,34.55262359720959,34.72550803760995,15.862905671822869,2.9105816787,17.1462125661,30.0424551012,-3.9298049099,30.8288227828,36.2181404374,82.4917,2.1758124896,65297.47075,1.21341,21.549,1.07,8.276,12.203,3249.0,397.0,609.0,2243.0,24.7970943531,18.0523746702,2.1187609155,50.0,48.79,3.5864925618,62.04,128.898,570.1007753896,14.8998482396,63.1808054683,2.07107,153.2894406192,3.5376393049,117.7986007628,6.14365755,26.0937389208,51.5776785081,22.335673261,18.7,0.0,0.0,45.0033,0.0,0.0,0.0,51.4663,0.0,0.0,0.0,38.2390826661,8.4610916071,3.4602076125
ZG,2016,120.089,6.1747933336,579.6360652573,20.3340855532,63.4737569636,16.1921574832,100.0,26.3496240288,5.2307446884,1.7211920724,10.7805396147,6.2298756963,51.295,2.3,83.93791366246163,3.2419919026688557,4.238351163099014,0.20294318610604034,9.036580764249365,52.940636568526465,14.30494508296195,20.080157459436858,13.849440744,27.4971075974,43.4250764526,-6.0204914317,27.3511792552,15.3743035482,82.2904,2.3320258415,155547.88469,3.65381,105.415,1.844,21.833,81.738,17212.0,598.0,1620.0,14994.0,14.1161282552,18.3550259067,0.4639625975,33.0,46.63,6.2903198496,156.988,336.742,633.2481078244,30.6785067824,51.0289927345,1.70592,204.0459394858,4.2929209181,97.5973179363,5.03608247,15.8507124768,45.474809481,38.673311004,29.0,17.6401,26.4429,13.7528,30.4596,0.0,3.5805,0.0,0.0,7.1575,0.0,54.0815117086,4.5970978174,3.4203085051
FR,2016,303.377,8.9352335606,190.3745026921,23.0686571494,62.1747858275,14.7565570231,74.0128618847,21.401754253,4.6256316566,2.0831981418,11.2113331303,6.6855352505,122.194,2.44,28.662219436361298,68.65615880514241,2.264849584265605,0.0,3.001257788533784,62.45148381686931,12.856840418598667,14.931153720023744,8.374566972,34.6449874928,56.2532533191,-4.3107045091,26.9491495001,8.4230302088,80.9768,3.004315718,58038.05412,2.904,144.305,8.792,36.484,99.029,20736.0,3017.0,3391.0,14328.0,5.2990721846,25.6840151856,0.9620474086,44.6,43.91,7.8421622058,289.205,469.806,578.7206590911,18.3652812767,70.9930990174,2.56466,130.874950139,3.1237472028,104.098487343,5.9759907,29.0876104411,43.5520111707,27.3613617256,27.5,14.1814,22.673,24.1981,25.9348,2.4898,3.1944,1.2854,0.0,5.2855,0.7576,55.2580118405,9.606144707,6.0009004711
