,Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in % 1),Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige) 2),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote 2),Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % 2) Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % 2) Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren) 2),Sekundarstufe II (ab 25 Jahren) 2),Tertiärstufe (ab 25 Jahren) 2),Hochschulabschlussquote,FDP 5),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
0,ZH,2021,1539.275,12.1047901488,926.8051106669,19.7557291582,63.1975442985,17.0467265433,99.3387146546,27.0763833623,5.1956658344,2.025982904,10.840315622,7.3883021708,691.687,2.1841324183,80.67305967056103,3.328786303437069,5.647301438308348,0.268434079688723,9.501046391457747,24.866037604276766,26.735360509476287,32.67985122515163,21.8601960841,18.3113142571,41.6542788559,-7.5815517286,30.3508112329,6.1347138271,82.2,3.1,104820.0814,4.05382779,1045.222,11.281,141.288,892.653,119808.0,3590.0,13257.0,102961.0,14.5922122484,22.2551382136,0.9057673892,27.7,44.7,6.503158183,3421.111,5960.145,488.1023138,46.91927434072486,38.86140929481801,3.14096,261.0,4.1,136.9,5.1,14.495863461088266,41.60594000803898,43.89819653087276,23.68,13.660914879,4.40844631,17.309270298,26.700010093,3.301502195,13.994563849,1.640260327,0.310207478,14.07711271,1.797094255,59.9447194155,8.4939328112,4.9212080728
1,BE,2021,1039.474,6.0902100628,177.9735335864,19.0231790309,59.9137640768,21.0630568922,74.7397241297,16.5743443318,4.4108055577,1.865553826,9.5765096404,9.3200562462,474.607,2.1478001799,83.67607627420969,10.977364005661876,3.148555186024834,0.09144716503446608,4.413155805148624,15.378666697354339,47.543758702832086,23.976201710070544,6.9129442561,19.3141996583,42.578783099,-3.1678490606,31.3323488942,19.1759237507,82.4,2.5,79114.62118,1.83062052,642.148,32.529,131.387,478.232,80394.0,10763.0,11612.0,58019.0,13.3796253494,18.7129080456,1.8609109366,38.8,46.0,4.8199735047,2887.038,5634.247,519.7999569,31.701444079948594,48.60991804479917,3.96666,226.0,4.8,156.0,4.8,16.276527264150698,50.902115926392135,32.821356809457164,25.13,8.360142453,1.872670843,16.822887211,30.030827962,4.176610747,9.735170906,8.041438968,0.617153166,13.585042099,2.817933211,52.1190325969,11.6360073702,3.0135935388
2,LU,2021,413.12,9.4038823124,289.0709732495,20.2880518978,61.8636231603,17.8483249419,63.8628001549,18.7867931836,4.8013983617,1.6312598991,10.5922494491,7.5460964631,179.274,2.2615382041,88.61465317352874,1.6268958277899772,3.330107221908708,0.19518960470875815,4.587705883900925,58.801290054707444,9.378919944678524,20.887073429609856,9.6338262081,31.7187070781,53.4494535519,-3.9628974627,29.9320957891,6.9846244509,82.9,2.2,69256.29787,1.01096264,253.856,13.617,57.43,182.809,32255.0,4709.0,4607.0,22939.0,10.6568119935,16.8323300178,1.5045304349,34.4,46.7,7.7514231032,1282.445,2217.819,532.345925,25.627763912605634,56.294058408862035,2.39307,180.0,3.8,128.2,5.2,18.756418948400047,48.06206493794178,33.181180482369285,24.39,15.558173557,25.490116765,13.517649597,24.746008953,0.712169323,7.0978447,0.0,0.0,12.228227894,0.148821562,41.8110299665,7.2346462153,2.5661873683
3,UR,2021,36.703,3.6163965897,34.7125806269,20.0446829959,59.1641010272,20.7912159769,88.5894885977,12.5848023322,4.7856049005,1.2852767447,9.3524392912,8.3953183111,15.499,2.3120201303,93.42545788748113,0.0,1.4024458084421978,0.0,3.2921945775618724,74.82111205934484,5.031838771089083,14.734458084421979,1.855430642,23.5767326733,24.1763448853,-5.5186435755,20.0984855524,53.8697389204,79.7,1.4,54290.76041,3.42883327,18.853,1.505,5.409,11.939,2798.0,587.0,411.0,1800.0,15.3906743477,12.3790532967,1.4297021866,42.9,46.7,9.8349816799,165.952,297.279,554.22282,11.670405066631481,63.128381052909354,1.21593,114.0,1.6,143.4,4.8,24.87808566136166,52.87869050769289,22.24322383094545,24.21,0.0,39.205020921,22.251046025,36.326359833,0.0,0.0,0.0,0.0,0.0,0.0,18.8016358796,1.5919633299,2.3330497077
4,SZ,2021,160.48,9.3709534519,188.5094736348,19.2821535394,62.5654287139,18.1524177468,82.0507228315,21.8799850449,4.6113657339,1.9208809773,9.610661828,6.9264340127,69.332,2.2751399065,88.31580902842282,1.8822218093999628,3.498420954857886,0.2757418391231655,6.342188370796953,56.51866988668029,11.30596321753669,21.822775404049786,6.0603724547,31.4695340502,40.5438146317,-3.5009564739,33.7367708115,19.6590421021,82.1,1.5,62039.72437,2.00671555,84.43,4.45,21.169,58.811,15504.0,1630.0,2421.0,11453.0,12.2703579347,15.3945009097,1.3030537979,39.4,49.9,7.9338338599,309.622,566.849,646.1156661,19.795463894129163,65.94516389838442,1.41426,156.0,2.0,148.1,4.2,19.944162436548222,47.018612521150594,33.03722504230119,26.2,23.098084599,18.397850201,13.814815178,36.892794445,0.602669596,4.58401577,0.0,0.0,2.609770211,0.0,24.6787924481,6.3016366664,2.3623284013
5,OW,2021,37.93,6.5898552761,78.9188964255,20.0105457422,60.6854732402,19.3039810177,27.5718428684,14.6823095175,4.9887159995,1.4253474284,9.1591769938,7.3642950469,16.192,2.3086709486,92.00947119179163,1.469452817679558,1.217323283346488,0.5632343488555643,3.479084451460142,68.07576953433308,10.355169692186267,15.76006314127861,3.8296918311,34.2142857143,36.857981412,-4.3278133432,40.6958258601,18.6165008968,84.4,1.2,67457.56564,1.88061577,22.558,1.709,7.327,13.522,3670.0,642.0,543.0,2485.0,35.0391104176,12.7969129721,0.9199632015,47.3,48.4,5.4557551564,349.481,638.622,604.7408895,12.251775183535925,68.9252617643519,1.07027,134.0,1.3,132.2,4.1,20.157389358169084,52.02151469208,27.82109594975092,26.53,11.591707418,36.67607962,2.920311316,37.275294442,0.0,0.0,0.0,0.0,0.0,0.0,35.5170317909,3.8582489892,1.3741708729
6,NW,2021,43.087,5.0287636505,178.5323609845,18.0982662984,60.9951957667,20.9065379349,50.5210388284,14.779399819,4.3332174719,2.0623334492,8.8981578033,7.7858880779,19.112,2.2197048974,90.63251037797684,1.6392708105746123,3.2335590998470614,0.0,5.418396329473454,62.65020755953682,11.281953244483287,20.237054839414462,5.370732768,27.7586206897,37.0261651084,-3.4486016629,33.311589476,24.2915126477,84.8,1.4,73728.59797,2.62517039,24.425,1.22,7.0,16.205,4080.0,452.0,580.0,3048.0,20.7709693198,14.0828978622,1.7825474058,39.7,50.0,3.5141613722,198.243,330.908,624.9913241,15.88569027106535,66.87854591300693,0.92081,130.0,2.3,136.6,4.6,17.199494404538026,47.81884884545426,34.98165675000771,24.74,0.0,35.795983508,0.0,64.204016492,0.0,0.0,0.0,0.0,0.0,0.0,26.1434884205,2.961386299,1.3650139972
7,GL,2021,40.59,5.1336510568,59.6297928603,19.1943828529,60.450849963,20.354767184,76.7110125647,24.2054693274,4.2966676133,1.4322225378,10.1984122085,10.2724926846,18.064,2.2048826395,86.46970544095578,1.2244066150722421,5.47921019333196,0.5984893034752671,4.004943648294736,30.085631050819526,30.944884206809288,24.83889003325192,2.9105816787,17.1462125661,30.0424551012,-3.9298049099,30.8288227828,36.2181404374,82.1,2.1,69860.27602,-2.670051,22.003,1.042,7.946,13.015,3317.0,386.0,627.0,2304.0,31.5338052557,19.5544225352,1.8288983271,44.4,50.0,6.6172643684,66.856,134.958,588.3969012,14.457028647568288,64.91783255607373,1.95778,136.0,3.6,154.2,5.6,23.72033699191085,52.10955593595811,24.17010707213104,21.69,0.0,0.0,28.192747339,0.0,0.0,0.0,63.027197477,0.0,2.749310209,0.0,16.8056827463,1.4355369651,1.1137786798
8,ZG,2021,127.642,12.8526590336,616.1517667503,20.2919101863,62.4128421679,17.2952476458,100.0,28.3347174128,4.880559889,1.9176434991,10.4448697142,6.2166229826,54.949,2.2869205991,80.34513649865623,3.4447640152765335,4.327408175774435,0.18023134518364844,12.145787165825828,48.00509217784903,12.683294827667499,26.56513744165213,13.849440744,27.4971075974,43.4250764526,-6.0204914317,27.3511792552,15.3743035482,80.1,2.5,160883.5455,3.09945276,115.792,1.866,22.815,91.111,18200.0,585.0,1695.0,15920.0,16.2818324357,19.3784539162,0.701955689,32.6,47.4,6.0755375894,133.907,278.756,680.9763712,33.13600737667128,47.697556477639466,1.62492,211.0,4.4,132.0,4.3,12.469520959996593,41.62292236762247,45.907556672380935,29.78,14.676798965,23.781401048,9.345428552,26.610899312,0.820341752,5.535604874,0.0,0.0,19.229525495,0.0,32.198806342,5.1562241302,2.2706308096
9,FR,2021,321.783,15.5443763398,201.9626179956,22.1826510412,61.8140175211,16.0033314376,74.7733721172,22.8278063167,4.187373243,1.9547320284,10.9227677881,6.5542851879,133.515,2.3665056361,26.056332665788453,69.03949682852726,2.4149641733992246,0.06151201580786891,3.8876240224782412,57.97056203217922,11.806406907947338,20.792753965292743,8.374566972,34.6449874928,56.2532533191,-4.3107045091,26.9491495001,8.4230302088,79.3,3.3,61236.99758,1.88325503,153.802,8.643,38.353,106.806,22004.0,2860.0,3478.0,15666.0,8.903679162,27.500547212,1.8914989176,42.2,45.3,9.0867542228,298.771,481.899,591.0220448,18.25393818619911,70.21299165763732,2.29077,156.0,2.7,128.3,5.3,25.853686666607523,42.05488080768651,32.09143252570597,29.8,15.420336853,17.801419498,21.225821533,20.181175819,3.99422386,5.380066349,0.652053895,0.0,12.463795507,0.734451756,36.8606336716,14.9193320657,4.4867812522
10,SO,2021,275.247,7.8199182087,348.2155734076,19.0200074842,61.1141992465,19.8657932693,85.9355415318,22.9404861815,4.5911957713,1.7722963819,9.4522473703,8.4275245651,122.863,2.2052530054,87.13562071762655,2.9383338223365145,4.786334374622461,0.18059150256295195,4.27805871489964,31.20760773890682,18.79239226109318,35.864068621528794,13.856801245,24.3896900193,42.310563407,-5.7817474853,42.7420069082,1.0906284398,81.4,2.9,68639.70042,2.06129268,144.858,4.208,37.917,102.733,18207.0,1444.0,3074.0,13689.0,16.6677126345,23.508018175,3.220715874,47.3,49.9,5.2904594889,231.378,435.355,581.2755771,21.70730676583696,62.81367535815407,3.39759,159.0,2.6,158.5,5.2,18.522117682858,53.132990758327566,28.344891558814435,24.12,18.520253856,14.198910536,18.440053101,25.909276062,1.199423399,6.807988839,1.988767673,0.0,11.41721066,0.602560937,53.8005959135,6.844952671,1.8192200414
11,BS,2021,195.844,5.8902406056,5300.2435723951,17.3449275954,62.8638099712,19.7912624334,100.0,36.6408978575,4.9461099306,2.0173574665,10.547605028,10.5629656179,97.49,1.9450610319,76.82066384440763,5.03957297993742,6.148843487330511,0.16399585864163446,12.112399533713726,14.942634517455058,14.589852138167986,52.840051536904106,71.0654407788,1.3107170393,12.0335316387,-5.6722689076,12.4121146566,4.4889129259,77.5,3.8,203966.653,3.05867743,190.756,0.075,35.493,155.188,16924.0,21.0,1466.0,15437.0,40.9984205699,35.1867416667,0.9614178449,15.8,41.4,4.0998824185,757.234,1423.481,337.0403459,47.17066545948393,17.178461847995575,6.02415,442.0,10.9,171.7,5.5,18.26982688730984,36.88438034377278,44.84647404672203,24.88,21.376396421,4.570072075,32.650037138,12.350466749,2.017789091,5.698406596,0.367651176,0.0,17.695032417,0.282176943,109.0231354549,18.201328774,17.3746957888
12,BL,2021,289.468,5.4897158934,559.1747638457,19.1585943869,58.6627882875,22.1786173256,97.6318625893,23.0951262316,4.4009695291,1.7728531856,8.805401662,8.5907202216,128.744,2.2155517927,86.17525904448213,3.2481693368543394,5.515604272847867,0.10837281049402236,6.701274379751203,26.227663445466156,27.638393205498357,32.462801499850094,17.4315293391,17.4235523748,40.506818094,-5.6727698052,41.3315563797,0.7300961873,77.6,2.5,73549.85891,0.73542068,150.816,3.115,39.988,107.713,19664.0,980.0,3158.0,15526.0,18.0068646887,23.611269129,1.1353822173,44.1,47.9,4.6302909523,145.582,283.106,518.036872,38.31307314992536,45.26107201251155,3.02223,246.0,3.4,170.5,5.0,16.526817917393835,49.561372891215825,33.91134380453752,33.98,16.519484699,8.488285778,21.795546877,25.14782189,3.49671446,5.257595869,1.182940787,0.0,17.995692413,0.0,36.2368636597,2.9396248941,0.4615939916
13,SH,2021,82.348,7.8474514118,276.1872819962,18.7047651431,59.8690921455,21.4261427114,89.7435274688,26.0564919609,4.9044961938,1.9837044159,8.8110551969,9.8455022849,37.719,2.1450462632,86.79645252000866,1.7679717355252722,3.8762708198139735,0.0,5.192876198716562,21.06280193236715,32.56759679861562,28.714399019395774,11.4030090809,14.5069000337,43.8896893744,-3.8884812913,43.3569011158,1.3504004289,79.9,3.6,91378.51408,4.15366081,46.586,1.882,13.095,31.609,6529.0,579.0,937.0,5013.0,6.4957350113,29.7233953184,2.029154519,41.6,51.2,3.7246008039,90.24,148.298,562.0738862,30.343007915567284,54.75533701127369,2.71371,187.0,3.6,146.2,5.3,17.626058333196863,52.517891358105565,29.856050308697576,27.71,11.034767528,2.142208275,26.15575192,39.451647535,1.879593691,5.949293914,0.0,0.0,6.829630853,3.4,41.9314314986,8.5741117928,4.7932090107
14,AR,2021,55.445,4.5796631269,228.3190578158,20.1965912165,59.8701415817,19.9332672017,76.6092524123,16.4595545135,4.987395983,2.0058005584,10.0832136178,8.7460132455,24.008,2.2711596135,90.78998911860718,1.1166971273122959,2.254624591947769,0.0,4.646354733405876,27.747551686615886,37.61915125136017,21.72361262241567,9.1840935287,21.912568306,54.7917009715,-2.8390016056,34.5010703112,1.5231351885,80.6,2.1,58807.11516,2.91916892,27.307,1.696,7.742,17.869,5096.0,729.0,825.0,3542.0,23.9442632203,17.2010582609,1.6446021564,46.7,51.1,4.4945449273,65.324,111.803,579.4981352,21.17197341557708,62.78180791451283,2.33371,177.0,9.1,165.5,4.3,17.924903148902356,50.35015396841164,31.724942882686005,29.87,48.436899423,0.0,0.0,49.455477258,0.0,0.0,0.0,0.0,0.0,0.0,32.190317558,3.7295868487,1.0138682695
