HRM2-ID,HRM2-Bezeichnung,Budget 2009,Rechnung 2009,Budget 2010,Rechnung 2010,Budget 2011,Rechnung 2011,Source,Kanton,Year
30,Personalaufwand,4507970.422999995,4513467.1,4606929.0,4605152.0,4736464.0,,ZH-HRM2,ZH,2010
31,Sach- und übriger Betriebsaufwand,2494223.94,2588439.5,2545504.0,2608960.0,2627790.0,,ZH-HRM2,ZH,2010
33,Abschreibungen Verwaltungsvermögen,432018.48599999986,485725.3,447662.0,545973.0,439101.0,,ZH-HRM2,ZH,2010
35,Einlagen in Fonds und Spezialfinanzierungen,19991.6,81167.3,18912.0,85972.0,25385.0,,ZH-HRM2,ZH,2010
36,Transferaufwand,4007044.3,3939821.0,4131269.0,4099009.0,4303978.0,,ZH-HRM2,ZH,2010
37,Durchlaufende Beiträge,591357.1,593974.0,605873.0,606276.0,617662.0,,ZH-HRM2,ZH,2010
39,Interne Verrechungen,0.0,0.0,0.0,0.0,0.0,,ZH-HRM2,ZH,2010
40,Fiskaleinnahmen,5567100.0,5626707.8,5204700.0,6090808.0,6012225.0,,ZH-HRM2,ZH,2010
41,Regalien und Konzessionen,361523.3,371580.5,363175.0,373622.0,372180.0,,ZH-HRM2,ZH,2010
42,Entgelte,2221488.9340000004,2467492.6,2343221.0,2482491.0,2527698.0,,ZH-HRM2,ZH,2010
43,Verschiedene Erträge,201201.264,238368.0,203425.0,266523.0,233154.0,,ZH-HRM2,ZH,2010
45,Entnahmen aus Fonds und Spezialfinanzierungen,14284.216999999999,363.5,40391.0,417.0,56403.376,,ZH-HRM2,ZH,2010
46,Transferertrag,2868000.25,2847614.1,2815516.0,3013904.0,2883931.0,,ZH-HRM2,ZH,2010
47,Durchlaufende Beiträge,591357.1,593974.0,605873.0,606276.0,617630.0,,ZH-HRM2,ZH,2010
49,Interne Verrechnungen,0.0,0.0,0.0,0.0,0.0,,ZH-HRM2,ZH,2010
34,Finanzaufwand,183521.0,179409.2,157157.0,164869.0,152156.0,,ZH-HRM2,ZH,2010
440,Zinsertrag,93808.0,71850.0,52695.0,62399.0,58187.0,,ZH-HRM2,ZH,2010
441,Realisierte Gewinne FV,0.0,10040.0,100.0,28156.0,186.0,,ZH-HRM2,ZH,2010
442,Beteiligungsertrag FV,107.0,136.0,17.0,164.0,17.0,,ZH-HRM2,ZH,2010
443,Liegenschaftenertrag FV,15847.0,17988.0,17293.0,19729.0,18593.0,,ZH-HRM2,ZH,2010
444,Wertberichtigungen Anlagen FV,10000.0,3267.0,10000.0,5456.0,2200.0,,ZH-HRM2,ZH,2010
445,Finanzertrag aus Darlehen und Beteiligungen VV,11224.0,12147.0,11099.0,17246.0,12087.0,,ZH-HRM2,ZH,2010
446,Finanzertrag von öffentlichen Unternehmungen,257473.0,283078.0,285588.0,303474.0,271204.0,,ZH-HRM2,ZH,2010
447,Liegenschaftenertrag VV,32606.0,30058.0,33289.0,30423.0,27256.0,,ZH-HRM2,ZH,2010
448,Erträge von gemieteten Liegenschaften,1729.0,2753.0,1490.0,2874.0,1557.0,,ZH-HRM2,ZH,2010
449,übriger Finanzertrag,0.0,634.0,0.0,10122.0,200.0,,ZH-HRM2,ZH,2010
38,Ausserordentlicher Aufwand,0.0,0.0,0.0,0.0,0.0,0.0,ZH-HRM2,ZH,2010
48,Ausserordentlicher Ertrag,0.0,0.0,0.0,0.0,0.0,0.0,ZH-HRM2,ZH,2010
3,Aufwand,12236126.848999994,12382003.399999999,12513306.0,12716211.0,12902536.0,,ZH-HRM2,ZH,2010
4,Ertrag,12247749.065,12578051.5,11987872.0,13314084.0,13094708.376,0.0,ZH-HRM2,ZH,2010
57,Durchlaufende Investitionsbeiträge,12407.45,11961.58,16568.1,16977.158,12524.0,,ZH-HRM2,ZH,2010
58,a.o Investitionsausgaben,0.0,0.0,0.0,0.0,0.0,,ZH-HRM2,ZH,2010
5,Investitionsausgaben gesamt,1299904.4,1043866.0,1343450.0,985825.0,897925.0,0.0,ZH-HRM2,ZH,2010
67,Durchlaufende Investitionsbeiträge,12407.45,11961.58,16568.1,16977.158,12524.0,,ZH-HRM2,ZH,2010
68,a.o Investitionseinnahmen,0.0,0.0,0.0,0.0,0.0,,ZH-HRM2,ZH,2010
6,Investitionseinnahmen gesamt,202699.4,252642.4,190226.0,214119.0,133925.0,0.0,ZH-HRM2,ZH,2010
10,Finanzvermögen,0.0,5424625.95163,0.0,5613828.0,0.0,,ZH-HRM2,ZH,2010
