HRM2-ID,HRM2-Bezeichnung,Rechnung 2010,Budget 2011,Rechnung 2011,Budget 2012,Source,Kanton,Year
30,Personalaufwand,4605152.0,4736464.0,7369400.9,4663153.945,ZH HRM2,ZH,2011
31,Sach- und übriger Betriebsaufwand,2608960.0,2627790.0,2693614.8,2515883.068,ZH HRM2,ZH,2011
33,Abschreibungen Verwaltungsvermögen,545973.0,439101.0,501069.37,462796.042,ZH HRM2,ZH,2011
35,Einlagen in Fonds und Spezialfinanzierungen,85972.0,25385.0,71126.1,20483.2,ZH HRM2,ZH,2011
36,Transferaufwand,4099009.0,4303978.0,4197364.68,6783695.865,ZH HRM2,ZH,2011
37,Durchlaufende Beiträge,606276.0,617662.0,628148.3,627812.0,ZH HRM2,ZH,2011
39,Interne Verrechungen,0.0,0.0,0.0,0.0,ZH HRM2,ZH,2011
40,Fiskaleinnahmen,6090808.0,6012225.0,6471376.4,6035748.0,ZH HRM2,ZH,2011
41,Regalien und Konzessionen,373622.0,372180.0,373468.06,81778.0,ZH HRM2,ZH,2011
42,Entgelte,2482491.0,2527698.0,2614914.8,2687466.602,ZH HRM2,ZH,2011
43,Verschiedene Erträge,266523.0,233154.0,294132.0,256947.3,ZH HRM2,ZH,2011
45,Entnahmen aus Fonds und Spezialfinanzierungen,417.0,56403.376,2557.4,191987.363,ZH HRM2,ZH,2011
46,Transferertrag,3013904.0,2883931.0,3022311.99,4837160.612,ZH HRM2,ZH,2011
47,Durchlaufende Beiträge,606276.0,617630.0,628099.29,627812.0,ZH HRM2,ZH,2011
49,Interne Verrechnungen,0.0,0.0,0.0,0.0,ZH HRM2,ZH,2011
34,Finanzaufwand,164869.0,152156.0,212614.19,157223.746,ZH HRM2,ZH,2011
440,Zinsertrag,62399.0,58187.0,58520.28,61854.0,ZH HRM2,ZH,2011
441,Realisierte Gewinne FV,28156.0,186.0,37984.7,131.2,ZH HRM2,ZH,2011
442,Beteiligungsertrag FV,164.0,17.0,217.8,17.0,ZH HRM2,ZH,2011
443,Liegenschaftenertrag FV,19729.0,18593.0,20872.5,21213.2,ZH HRM2,ZH,2011
444,Wertberichtigungen Anlagen FV,5456.0,2200.0,77765.3,2000.0,ZH HRM2,ZH,2011
445,Finanzertrag aus Darlehen und Beteiligungen VV,17246.0,12087.0,16288.3,35257.0,ZH HRM2,ZH,2011
446,Finanzertrag von öffentlichen Unternehmungen,303474.0,271204.0,285482.6,276735.0,ZH HRM2,ZH,2011
447,Liegenschaftenertrag VV,30423.0,27256.0,31397.1,25750.4,ZH HRM2,ZH,2011
448,Erträge von gemieteten Liegenschaften,2874.0,1557.0,3687.1,2701.6,ZH HRM2,ZH,2011
449,übriger Finanzertrag,10122.0,200.0,10969.0,200.0,ZH HRM2,ZH,2011
38,Ausserordentlicher Aufwand,0.0,0.0,0.0,0.0,ZH HRM2,ZH,2011
48,Ausserordentlicher Ertrag,0.0,0.0,0.0,0.0,ZH HRM2,ZH,2011
3,Aufwand,12716211.0,12902536.0,15673338.339999998,15231047.866,ZH HRM2,ZH,2011
4,Ertrag,13314084.0,13094708.376,13950044.620000001,15144759.276999999,ZH HRM2,ZH,2011
57,Durchlaufende Investitionsbeiträge,16977.158,12524.0,34695.4,13816.0,ZH HRM2,ZH,2011
58,a.o Investitionsausgaben,0.0,0.0,0.0,0.0,ZH HRM2,ZH,2011
5,Investitionsausgaben gesamt,985825.0,897925.0,983091.9,1045594.47,ZH HRM2,ZH,2011
67,Durchlaufende Investitionsbeiträge,16977.158,12524.0,34695.4,13816.0,ZH HRM2,ZH,2011
68,a.o Investitionseinnahmen,0.0,0.0,0.0,0.0,ZH HRM2,ZH,2011
6,Investitionseinnahmen gesamt,214119.0,133925.0,306082.3,98422.0,ZH HRM2,ZH,2011
10,Finanzvermögen,5613828.0,0.0,6242170.2,0.0,ZH HRM2,ZH,2011
14,Verwaltungsvermögen,14337099.0,0.0,14362143.3,0.0,ZH HRM2,ZH,2011
1,Aktiven,19950927.0,0.0,20604313.5,0.0,ZH HRM2,ZH,2011
20,Fremdkapital,9935836.0,0.0,12295727.6,0.0,ZH HRM2,ZH,2011
29,Eigenkapital,10015091.0,0.0,8308585.8,0.0,ZH HRM2,ZH,2011
2,Passiven,19950927.0,0.0,20604313.4,0.0,ZH HRM2,ZH,2011
39,Selbstfinanzierung,1259685.42829,838072.3760000002,-1061799.6100699974,511238.07499999925,ZH HRM2,ZH,2011
40,Selbstfinanzierungsanteil,0.10302196586618782,0.06966990423626268,-0.0831076016319635,0.03678209784043578,ZH HRM2,ZH,2011
31,Bruttoschulden,5740602.0,0.0,5118556.908,0.0,ZH HRM2,ZH,2011
32,Bruttoverschuldungsanteil,0.46948872314748874,0.0,0.4006320819919642,0.0,ZH HRM2,ZH,2011
33,Nettoschuld I,4322008.0,0.0,6053557.399999999,0.0,ZH HRM2,ZH,2011
34,Nettoschuld II,904018.0,0.0,2665493.000000001,0.0,ZH HRM2,ZH,2011
36,Nettoverschuldungsquotient,0.5927405690673553,0.0,0.8257234890555892,0.0,ZH HRM2,ZH,2011
37,Eigenkapital (in 1000 Fr.),10015091.0,0.0,8308585.8,0.0,ZH HRM2,ZH,2011
38,Eigenkapitaldeckungsgrad,0.6625764713022819,0.0,0.40717607977785314,0.0,ZH HRM2,ZH,2011
42,Kapitaldienstanteil,0.05132110413476414,0.043687986254766324,0.04551198651289459,0.0395357733722768,ZH HRM2,ZH,2011
43,Saldo der Finanzerträge,315174.0,239331.0,330570.48999999993,268635.654,ZH HRM2,ZH,2011
44,Bruttorendite des Finanzvermögens,0.020646161585285476,,0.031296900555515136,,ZH HRM2,ZH,2011
45,Zinsbelastungsanteil,0.00666931210267345,0.007185023627529971,0.006293029190812222,0.006238939412853001,ZH HRM2,ZH,2011
47,Investitionsanteil,0.07783887396128575,0.06968484995304108,0.061498764650678175,0.06809639051890355,ZH HRM2,ZH,2011
30,Personalaufwand,,,,620155.19101,LU HRM2,LU,2011
31,Sach- und übriger Betriebsaufwand,,,,223471.6151,LU HRM2,LU,2011
33,Abschreibungen Verwaltungsvermögen,,,,121442.671,LU HRM2,LU,2011
35,Einlagen in Fonds und Spezialfinanzierungen,,,,0.0,LU HRM2,LU,2011
36,Transferaufwand,,,,1631953.334,LU HRM2,LU,2011
37,Durchlaufende Beiträge,,,,436322.55,LU HRM2,LU,2011
39,Interne Verrechungen,,,,403009.064,LU HRM2,LU,2011
40,Fiskaleinnahmen,,,,1060509.0,LU HRM2,LU,2011
41,Regalien und Konzessionen,,,,51519.0,LU HRM2,LU,2011
42,Entgelte,,,,203043.787,LU HRM2,LU,2011
43,Verschiedene Erträge,,,,250.0,LU HRM2,LU,2011
45,Entnahmen aus Fonds und Spezialfinanzierungen,,,,2492.522,LU HRM2,LU,2011
46,Transferertrag,,,,1189788.112,LU HRM2,LU,2011
47,Durchlaufende Beiträge,,,,436322.55,LU HRM2,LU,2011
49,Interne Verrechnungen,,,,403009.06407,LU HRM2,LU,2011
34,Finanzaufwand,,,,42153.319,LU HRM2,LU,2011
440,Zinsertrag,,,,5139.2,LU HRM2,LU,2011
441,Realisierte Gewinne FV,,,,0.0,LU HRM2,LU,2011
442,Beteiligungsertrag FV,,,,15187.0,LU HRM2,LU,2011
443,Liegenschaftenertrag FV,,,,7310.0,LU HRM2,LU,2011
444,Wertberichtigungen Anlagen FV,,,,0.0,LU HRM2,LU,2011
445,Finanzertrag aus Darlehen und Beteiligungen VV,,,,74808.166,LU HRM2,LU,2011
446,Finanzertrag von öffentlichen Unternehmungen,,,,0.0,LU HRM2,LU,2011
447,Liegenschaftenertrag VV,,,,22425.621,LU HRM2,LU,2011
448,Erträge von gemieteten Liegenschaften,,,,0.0,LU HRM2,LU,2011
449,übriger Finanzertrag,,,,0.0,LU HRM2,LU,2011
38,Ausserordentlicher Aufwand,,,,0.0,LU HRM2,LU,2011
48,Ausserordentlicher Ertrag,,,,0.0,LU HRM2,LU,2011
3,Aufwand,0.0,0.0,0.0,3478507.7441100003,LU HRM2,LU,2011
4,Ertrag,0.0,0.0,0.0,3471804.02207,LU HRM2,LU,2011
57,Durchlaufende Investitionsbeiträge,,,,12675.0,LU HRM2,LU,2011
58,a.o Investitionsausgaben,,,,0.0,LU HRM2,LU,2011
5,Investitionsausgaben gesamt,0.0,0.0,0.0,230180.77905,LU HRM2,LU,2011
67,Durchlaufende Investitionsbeiträge,,,,12675.0,LU HRM2,LU,2011
68,a.o Investitionseinnahmen,,,,0.0,LU HRM2,LU,2011
6,Investitionseinnahmen gesamt,0.0,0.0,0.0,84314.615,LU HRM2,LU,2011
10,Finanzvermögen,,,,,LU HRM2,LU,2011
14,Verwaltungsvermögen,,,,,LU HRM2,LU,2011
1,Aktiven,0.0,0.0,0.0,0.0,LU HRM2,LU,2011
20,Fremdkapital,,,,,LU HRM2,LU,2011
29,Eigenkapital,,,,,LU HRM2,LU,2011
2,Passiven,0.0,0.0,0.0,0.0,LU HRM2,LU,2011
39,Selbstfinanzierung,0.0,0.0,0.0,121240.20695999954,LU HRM2,LU,2011
40,Selbstfinanzierungsanteil,0.0,0.0,0.0,0.0483971609422791,LU HRM2,LU,2011
