HRM2-ID,HRM2-Bezeichnung,Rechnung 2014,Budget 2015,Rechnung 2015,Budget 2016,Source,Kanton,Year,Compte,Compte.1
30,Personalaufwand,4958624.94034,5058273.578999999,5100269.19577,5164956.486,ZH_HRM2,ZH,2015,,
31,Sach- und übriger Betriebsaufwand,2943690.2917,2976696.62825,2943087.0589099997,3012788.307,ZH_HRM2,ZH,2015,,
330,Abschreibungen Sachanlagen VV,503685.37785000005,461127.442,493650.41839,466662.753,ZH_HRM2,ZH,2015,,
332,Abschreibungen Immaterielle Anlagen VV,27564.75471,27300.524,30767.69746,23943.821,ZH_HRM2,ZH,2015,,
339,Abtragung Bilanzfehlbetrag,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
350,Einlagen in Fonds und Spezialfinanzierungen im FK,41408.95222,7167.8,41382.40418,6927.0,ZH_HRM2,ZH,2015,,
351,Einlagen in Fonds und Spezialfinanzierungen im EK,17754.98665,9478,15460.43292,0.0,ZH_HRM2,ZH,2015,,
36,Transferaufwand,5145992.16537,5449901.968,5379964.298850001,5701333.430600001,ZH_HRM2,ZH,2015,,
37,Durchlaufende Beiträge,633057.6747699999,663146.64,633555.76825,647813.0,ZH_HRM2,ZH,2015,,
39,Interne Verrechungen,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
41,Regalien und Konzessionen,85588.66412999999,191833,326270.55851,199435.0,ZH_HRM2,ZH,2015,,
42,Entgelte,2805375.68841,2822631.932,2915289.4748400003,2924971.717,ZH_HRM2,ZH,2015,,
430,Verschiedene Erträge,257818.94285,166057.9,252458.69099,200345.8,ZH_HRM2,ZH,2015,,
431,Aktivierung Eigenleistung,13135.08191,8839.7,11039.85434,11758.6,ZH_HRM2,ZH,2015,,
432,Bestandesveränderungen,-3136.34105,0,-111.65639,0.0,ZH_HRM2,ZH,2015,,
439,Übriger Ertrag,51809.50882,96086.98659999999,35577.89301,76079.492,ZH_HRM2,ZH,2015,,
450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,32091.96454,68620.062,30116.48569,79903.99,ZH_HRM2,ZH,2015,,
451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,0.0,0,0.0,51911.0,ZH_HRM2,ZH,2015,,
46,Transferertrag,3654454.801,3691845,3816645.7476,3817445.00553,ZH_HRM2,ZH,2015,,
47,Durchlaufende Beiträge,633057.6747699999,663146.64,633555.76825,647813.0,ZH_HRM2,ZH,2015,,
49,Interne Verrechnungen,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
340,Zinsaufwand,122641.91751,128274.163,133830.18699,117042.1,ZH_HRM2,ZH,2015,,
341,Realisierte Kursverluste,1710.96393,344.6,1739.5748999999998,533.7,ZH_HRM2,ZH,2015,,
342,Kapitalbeschaffungs- und Verwaltungskosten,814.59723,705,694.52234,755.0,ZH_HRM2,ZH,2015,,
343,Liegenschaftenaufwand FV,13502.08688,5829,3005.0072400000004,11477.8,ZH_HRM2,ZH,2015,,
344,Wertberichtigungen Anlagen FV,2488.28917,70,42628.754409999994,20.0,ZH_HRM2,ZH,2015,,
349,Verschiedener Finanzaufwand,1007.86076,2053.6,325.21898,190.0,ZH_HRM2,ZH,2015,,
440,Zinsertrag,43136.89056,44738.1,40753.59497,38947.6,ZH_HRM2,ZH,2015,,
441,Realisierte Gewinne FV,10601.7225,2157.3,6206.44539,2620.5,ZH_HRM2,ZH,2015,,
442,Beteiligungsertrag FV,548.47965,106,562.9604499999999,115.0,ZH_HRM2,ZH,2015,,
443,Liegenschaftenertrag FV,22893.32994,24499.15,23259.1186,26015.76,ZH_HRM2,ZH,2015,,
444,Wertberichtigungen Anlagen FV,4213.023429999999,3020,49429.706009999994,2000.0,ZH_HRM2,ZH,2015,,
445,Finanzertrag aus Darlehen und Beteiligungen VV,54727.358,32638.6,37748.26595,37120.8,ZH_HRM2,ZH,2015,,
446,Finanzertrag von öffentlichen Unternehmungen,270557.563,227775,165860.75,240038.0,ZH_HRM2,ZH,2015,,
447,Liegenschaftenertrag VV,34339.26126,29491.24,36149.2266,27458.2,ZH_HRM2,ZH,2015,,
448,Erträge von gemieteten Liegenschaften,5464.57172,1781.7,3931.3497599999996,4555.53,ZH_HRM2,ZH,2015,,
449,übriger Finanzertrag,7933.97225,466,5354.11713,225.0,ZH_HRM2,ZH,2015,,
380,a.o. Personalaufwand,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
381,a.o. Sach- und Betriebsaufwand,0.0,-100000,0.0,0.0,ZH_HRM2,ZH,2015,,
383,Zusätzliche Abschreibungen Sachanlagen und immat. Anlagen VV,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
3840,a.o. Finanzaufwand (Geldwirksam),0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
3841,a.o. Finanzaufwand (Wertberichtigungen),0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
386,a.o.Transferaufwand (Geldwirksam),0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
387,"Zusätzlich Abschreibungen Darlehen, Beteiligungen, Invest.-Beiträge VV",0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
389,Einlagen in das Eigenkapital,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
481,"a.o. Regalien, Konzessionen",0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
482,a.o. Entgelte,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
483,a.o. verschiedene Erträge,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
484,a.o. Finanzerträge,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
485,a.o. Entnahmen aus Fonds und Spezialfinanzierungen,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
486,a.o. Transfererträge,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
487,Zusätzliche Auflösung passivierter Investitionsbeiträge,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
489,Entnahmen aus dem Eigenkapital,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
3,Aufwand,14413944.859089999,14690368.94425,14820360.539590001,15154443.3976,ZH_HRM2,ZH,2015,,
4,Ertrag,14290982.500659995,14716923.310600001,14838276.513129998,15222949.894530002,ZH_HRM2,ZH,2015,,
50,Sachanlagen,711709.76681,492810.3,469095.27887,730551.1,ZH_HRM2,ZH,2015,,
51,Investitionen auf Rechnung Dritter,1248.44475,100,264.791,750.0,ZH_HRM2,ZH,2015,,
52,Immaterielle Anlagen,35102.23831,46736,37825.898270000005,55511.0,ZH_HRM2,ZH,2015,,
54,Darlehen,12386.517,28000,26708.371199999998,30150.0,ZH_HRM2,ZH,2015,,
55,Beteiligungen und Grundkapitalien,21137.607,500000,500090.29567,1023.0,ZH_HRM2,ZH,2015,,
56,Eigene Investitionsbeiträge,197149.08351,239633.7,176947.77736,221894.7,ZH_HRM2,ZH,2015,,
57,Durchlaufende Investitionsbeiträge,39130.228299999995,32769,38247.5329,34683.0,ZH_HRM2,ZH,2015,,
580,a.o. Investitionen für Sachanlagen,0.0,0,0.0,0.0,ZH_HRM2,ZH,2015,,
