Referenz-ID,HRM 2,in 1000 CHF,Rechnung 2019,Budget 2020,Rechnung 2020,Budget 2021,Kanton,Compte,Compte.1
HRM2_ER0030,30,Personalaufwand,25078006.425839998,25365050.64956,25538338.81869,25939361.829140004,HRM2_KT_alle,,
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,9695994.15067,10070494.85185,9648999.927939998,10237462.65679,HRM2_KT_alle,,
HRM2_ER0314,davon 314,baulicher und betrieblicher Unterhalt,1093416.7982700001,1130573.045,1100302.72593,1116254.8120000002,HRM2_KT_alle,,
HRM2_ER0318,davon 3180,Wertberichtigungen auf Forderungen,124425.54986999999,48634.503,55150.77083000001,41547.87,HRM2_KT_alle,,
HRM2_neu_ER0033,33,Abschreibungen VV,2834876.470629999,2894989.3608199996,2874363.8692199998,2882024.76714,HRM2_KT_alle,,
HRM2_ER0330,330,Abschreibungen Sachanlagen VV,2685831.41969,2709755.1243600002,2745022.20723,2733273.60527,HRM2_KT_alle,,
HRM2_ER0332,332,Abschreibungen Immaterielle Anlagen VV,149045.75081,151946.17487000002,129342.51880000002,148751.16187,HRM2_KT_alle,,
HRM2_ER0339,339,Abtragung Bilanzfehlbetrag,0.0,33288.212,0.0,0.0,HRM2_KT_alle,,
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,589128.6276700001,399875.90900000004,1180277.9638699999,437141.40100000007,HRM2_KT_alle,,
HRM2_ER0350,350,Einlagen in Fonds und Spezialfinanzierungen im FK,209092.20012,173110.3,295338.20820999995,170464.76700000002,HRM2_KT_alle,,
HRM2_ER0351,351,Einlagen in Fonds und Spezialfinanzierungen im EK,380036.99728,226839.609,884939.8546600001,266676.634,HRM2_KT_alle,,
HRM2_ER0036,36,Transferaufwand,48079154.30831,50150090.90637999,51857105.4511,51422170.89772,HRM2_KT_alle,,
HRM2_ER3634,davon 3634,Beiträge an öffentliche Unternehmungen,11519898.438420001,11475875.2094,12286467.732859999,11820041.3976,HRM2_KT_alle,,
HRM2_ER3635,davon 3635,Beiträge an private Unternehmungen,3676389.2345900005,3975219.6426000013,4276053.95954,3876481.2489999994,HRM2_KT_alle,,
HRM2_neu_ER0364,364,Wertberichtigungen Darlehen VV,58054.87143,18993.6,71373.66633,16146.96,HRM2_KT_alle,,
HRM2_neu_ER0365,365,Wertberichtigungen Beteiligungen VV,84322.67100000002,534.3,44367.57564000001,606.3,HRM2_KT_alle,,
HRM2_neu_ER0366,366,Abschreibungen Investitionsbeiträge,892380.84457,947008.0592199999,864029.6132199999,913872.2430199999,HRM2_KT_alle,,
HRM2_ER0037,37,Durchlaufende Beiträge,4478842.94528,4468522.024000001,4538568.357340001,4460081.053,HRM2_KT_alle,,
HRM2_ER3704,davon 3704,Durchlaufende Beiträge an öffentliche Unternehmungen,594402.8683,592701.6,599260.69959,596463.0,HRM2_KT_alle,,
HRM2_ER3705,davon 3705,Durchlaufende Beiträge an private Unternehmungen,1749095.77928,1712800.354,1776279.0663399994,1733873.4329999997,HRM2_KT_alle,,
HRM2_ER0039,39,Interne Verrechungen,2860725.848339999,2907588.3464599997,3140133.68319,2972429.4432599996,HRM2_KT_alle,,
HRM2_TOTBA,,Total Betrieblicher Aufwand (ohne SG 39),90756002.92839998,93349023.70161,95637654.38816,95378242.60479002,HRM2_KT_alle,,
HRM2_neu_ER0040,40,Fiskalertrag,49254531.36997001,47981014.27,49293510.80164001,46149180.923599996,HRM2_KT_alle,,
HRM2_neu_ER0400,400,Direkte Steuern natürliche Personen,34464718.8171,34584847.678,35288418.381790005,34045783.11,HRM2_KT_alle,,
HRM2_neu_ER0401,401,Direkte Steuern juristische Personen,8285283.824820001,7392499.407,7303138.6079400005,5998813.575,HRM2_KT_alle,,
HRM2_ER0402,402 + 403,Übrige direkte Steuer; Besitz- und Aufwandsteuern,6504528.71393,5976767.185,6701954.82191,6104585.295,HRM2_KT_alle,,
HRM2_neu_ER4021,4021,Grundsteuern,462841.77819999994,469505.0,462484.19256,479600.0,HRM2_KT_alle,,
HRM2_neu_ER4022,4022,Vermögensgewinnsteuern,1487267.1126100002,1237917.585,1511368.1168999998,1288291.2540000002,HRM2_KT_alle,,
HRM2_neu_ER4023,4023,Vermögensverkehrssteuern,990695.63382,884545.6,1119862.07933,896594.347,HRM2_KT_alle,,
HRM2_ER0041,41,Regalien und Konzessionen,2082563.6476099999,1479764.0550000002,3432612.86834,2485582.886999999,HRM2_KT_alle,,
HRM2_ER0042,42,Entgelte,7685260.9048,7722365.583609999,7444766.621430001,7696228.0154099995,HRM2_KT_alle,,
HRM2_neu_ER0043,43,Verschiedene Erträge,762132.92592,781949.145,725482.33687,851174.5987,HRM2_KT_alle,,
HRM2_ER0430,430,Verschiedene Erträge,500633.8907,570362.0179999999,501611.93165,615673.104,HRM2_KT_alle,,
HRM2_ER0431,431,Aktivierung Eigenleistung,61220.3144,76872.4,56449.06815,69114.6707,HRM2_KT_alle,,
HRM2_ER0432,432,Bestandesveränderungen,2827.7723899999996,1966.0,3259.05014,-125.0,HRM2_KT_alle,,
HRM2_ER0439,439,Übriger Ertrag,197450.63858,176955.477,164161.97593000002,166511.934,HRM2_KT_alle,,
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,752885.00124,676801.09787,1126948.06593,706062.3723,HRM2_KT_alle,,
HRM2_ER0450,450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,181632.27969999996,183926.267,232062.90692000004,191206.05,HRM2_KT_alle,,
HRM2_ER0451,451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,571252.42064,492409.83096999995,895299.49541,514856.3223,HRM2_KT_alle,,
HRM2_ER0046,46,Transferertrag,27231779.09539,28209636.693079997,28841969.184940003,28402574.74911,HRM2_KT_alle,,
HRM2_ER0466,davon 466,Auflösung passivierter Investitionsbeiträge,126988.31429000001,97512.76164000001,103178.98750999999,104167.51701,HRM2_KT_alle,,
HRM2_ER0047,47,Durchlaufende Beiträge,4479245.98643,4468513.024000001,4538629.767340001,4460041.053,HRM2_KT_alle,,
HRM2_ER0049,49,Interne Verrechnungen,2860725.848339999,2907588.3464599997,3140133.68319,2972429.29398,HRM2_KT_alle,,
HRM2_TOTBE,,Total Betrieblicher Ertrag (ohne SG 49),92248398.93136,91320043.86856,95403919.64649,90750844.59912,HRM2_KT_alle,,
HRM2_ERGBT,,Ergebnis aus betrieblicher Tätigkeit,1492396.0029599983,-2028979.8330499989,-233734.741669997,-4627398.00567,HRM2_KT_alle,,
HRM2_neu_ER0034,34,Finanzaufwand,849401.9722000001,852899.895,1163685.1674000002,785847.778,HRM2_KT_alle,,
HRM2_ER0340,340,Zinsaufwand,554098.76953,666671.957,603790.30104,603661.6599999999,HRM2_KT_alle,,
HRM2_neu_ER3401,3401,Verzinsung kurzfristige Finanzverbindlichkeiten,369313.1733900001,392108.30600000004,360356.90420000005,376078.76,HRM2_KT_alle,,
HRM2_neu_ER3406,3406,Verzinsung langfristige Finanzverbindlichkeiten,125758.41106000001,120101.212,114518.51415,103977.3,HRM2_KT_alle,,
HRM2_ER0341,341,Realisierte Kursverluste,22341.866739999998,6116.792,33184.160180000006,1861.135,HRM2_KT_alle,,
HRM2_ER0342,342,Kapitalbeschaffungs- und Verwaltungskosten,17795.9846,21731.38036,16073.297250000003,21684.850000000002,HRM2_KT_alle,,
HRM2_ER0343,343,Liegenschaftenaufwand FV,69251.47153000001,94826.66864,76907.78998,99480.68300000002,HRM2_KT_alle,,
HRM2_ER0344,344,Wertberichtigungen Anlagen FV,119179.92107,1107.1,374606.78327,742.7,HRM2_KT_alle,,
HRM2_ER0349,349,Verschiedener Finanzaufwand,66735.04744,62445.997,59124.03768,58416.75,HRM2_KT_alle,,
HRM2_neu_ER0044,44,Finanzertrag,3263330.2934600003,2832735.6157000004,4074484.097950001,2729767.8295600004,HRM2_KT_alle,,
