Referenz-ID,HRM2-ID,HRM2-Bezeichnung,Rechnung 2021,Budget 2022,Anpassung Budget 2022,Budgetplus 2022,Rechnung 2022,Budget 2023,Source,Kanton,Year,Compte,Adaptation Budget**,Compte.1
HRM2_ER0030,30,Personalaufwand,26152620.028569996,26630564.07622,308222.46998000005,26938786.5462,26985594.56335,28032655.052470002,HRM2_KT_alle,alle,2022,,,
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,10287100.48293,10415701.9807,648662.0455,11064364.0262,10806538.02481,10798381.31853,HRM2_KT_alle,alle,2022,,,
HRM2_ER0314,davon 314,baulicher und betrieblicher Unterhalt,1138027.15383,1111854.518,19209.295000000006,1131063.8129999998,1118726.4112,1149341.7850000001,HRM2_KT_alle,alle,2022,,,
HRM2_ER0318,davon 3180,Wertberichtigungen auf Forderungen,753.9245599999999,52483.266,3469.8,55953.066000000006,108041.00892000001,60863.81,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0033,33,Abschreibungen VV,2829988.735800001,2898268.6501100007,5258.4,2903527.0501100007,2839873.6903299997,2926517.17731,HRM2_KT_alle,alle,2022,,,
HRM2_ER0330,330,Abschreibungen Sachanlagen VV,2680263.72598,2735752.06111,5258.4,2741010.46111,2674160.4484299994,2740638.711309999,HRM2_KT_alle,alle,2022,,,
HRM2_ER0332,332,Abschreibungen Immaterielle Anlagen VV,149725.11113,162517.59,0.0,162517.59,165713.1799,185284.366,HRM2_KT_alle,alle,2022,,,
HRM2_ER0339,339,Abtragung Bilanzfehlbetrag,0.0,0.0,0.0,0.0,0.0,594.0,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,1383700.23774,561999.7710000001,-9095.1,552904.6710000001,1025081.2437299999,515407.08165,HRM2_KT_alle,alle,2022,,,
HRM2_ER0350,350,Einlagen in Fonds und Spezialfinanzierungen im FK,315863.26703,157040.69999999998,-11595.1,145445.59999999998,279798.20745000005,153382.107,HRM2_KT_alle,alle,2022,,,
HRM2_ER0351,351,Einlagen in Fonds und Spezialfinanzierungen im EK,1067836.9711200001,404959.071,2500.0,407459.071,745282.70228,362024.97465000005,HRM2_KT_alle,alle,2022,,,
HRM2_ER0036,36,Transferaufwand,55929522.3645,52659531.96633,1311782.9940000004,53971314.96033,54406520.09443,55562946.12030001,HRM2_KT_alle,alle,2022,,,
HRM2_ER3634,davon 3634,Beiträge an öffentliche Unternehmungen,11915935.536470002,11972853.848,208223.806,12181077.654,12483822.35128,12367216.44302,HRM2_KT_alle,alle,2022,,,
HRM2_ER3635,davon 3635,Beiträge an private Unternehmungen,7370842.80517,3666077.4159999997,332176.295,3998253.7109999997,4249752.4047,4289590.0649999995,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0364,364,Wertberichtigungen Darlehen VV,77276.27082,51258.75,0.0,51258.75,162828.50023000003,27813.0,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0365,365,Wertberichtigungen Beteiligungen VV,92151.85876999999,4601.3,50.0,4651.3,158893.35771999997,3601.3,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0366,366,Abschreibungen Investitionsbeiträge,921063.7214500001,921919.39993,1164.0,923083.39993,886448.0011399998,935988.117,HRM2_KT_alle,alle,2022,,,
HRM2_ER0037,37,Durchlaufende Beiträge,4944747.016299999,4531779.028,7162.348,4538941.376,4602538.45638,4684623.933999999,HRM2_KT_alle,alle,2022,,,
HRM2_ER3704,davon 3704,Durchlaufende Beiträge an öffentliche Unternehmungen,620463.96004,651941.0,0.0,651941.0,637964.52873,665395.0999999999,HRM2_KT_alle,alle,2022,,,
HRM2_ER3705,davon 3705,Durchlaufende Beiträge an private Unternehmungen,2176763.5739499996,1739293.86,1550.0,1740843.86,1757136.08813,1744978.86,HRM2_KT_alle,alle,2022,,,
HRM2_ER0039,39,Interne Verrechungen,3238634.61641,2919552.689700001,2502.544,2922055.233700001,3040179.89133,3028684.5232,HRM2_KT_alle,alle,2022,,,
HRM2_TOTBA,,Total Betrieblicher Aufwand (ohne SG 39),101527679.04508999,97697845.77236,2271993.1574800005,99969838.92984,100666146.07303,102520530.68426,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0040,40,Fiskalertrag,50530427.98593,47916953.746599995,4430.0,47921383.746599995,53249556.70157001,50637962.032000005,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0400,400,Direkte Steuern natürliche Personen,35457924.43113,34910943.141,0.0,34910943.141,37253296.65788001,36307501.233,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0401,401,Direkte Steuern juristische Personen,7640789.948,6635977.818,0.0,6635977.818,8378351.30508,7559738.231000001,HRM2_KT_alle,alle,2022,,,
HRM2_ER0402,402 + 403,Übrige direkte Steuer; Besitz- und Aufwandsteuern,7431711.9941799985,6370032.7876,0.0,6370032.7876,7617908.046060001,6770722.568,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER4021,4021,Grundsteuern,520521.6432,504500.0,0.0,504500.0,525398.08525,520500.0,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER4022,4022,Vermögensgewinnsteuern,1941504.89251,1375433.574,0.0,1375433.574,2020189.26935,1566700.414,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER4023,4023,Vermögensverkehrssteuern,1268401.04257,974106.9249999999,0.0,974106.9249999999,1236785.6900800003,1074859.274,HRM2_KT_alle,alle,2022,,,
HRM2_ER0041,41,Regalien und Konzessionen,4775215.34066,3710037.5849999995,0.0,3710037.5849999995,4835119.72147,2773390.375,HRM2_KT_alle,alle,2022,,,
HRM2_ER0042,42,Entgelte,7983889.195070001,7838441.80982,38076.501000000004,7876518.31082,8063977.08185,8032979.466709999,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0043,43,Verschiedene Erträge,793150.8290299999,792378.16585,-2352.5200000000004,790025.64585,744968.72743,767447.27695,HRM2_KT_alle,alle,2022,,,
HRM2_ER0430,430,Verschiedene Erträge,459401.7396,555635.8459999999,1559.4799999999998,557195.3259999999,495995.32019999996,549544.10445,HRM2_KT_alle,alle,2022,,,
HRM2_ER0431,431,Aktivierung Eigenleistung,74963.58641,73194.20885,0.0,73194.20885,80688.90531000002,91419.554,HRM2_KT_alle,alle,2022,,,
