StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Prolific ID,STATUS,Public Sector,Public Sector_DO,Budgeting,Budgeting_DO,Safety Buffer,Safety Buffer_DO,Scenario1_Answer_1,Scenario1_Explainer,Scenario1_ComprCheck,AI_Updates_1,AI_Resubmission13_1,AI_Resubmission14,NoAI_Updates_1,NoAI_Resubmission13_1,NoAI_Resubmission14,Manip_Check,WorkExp_1,Your Background,Feedback,PROLIFIC_PID,FL_23_DO,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Scenario1_FinalAnswer
08/03/2024 15:37,08/03/2024 15:45,IP Address,109.255.101.29,100,509,TRUE,08/03/2024 15:45,R_42EVTwsQNiMtYLs,,,,,53.323,-6.3159,anonymous,EN,"Yes, I consent to participate",5d801d303f019e001804c468,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,179330,"The actual expenses for each year listed tend to lean towards 150,000; y9 was the lowest year recorded. Therefore, it would seem wise to assume that actual expenses may increase this year given that y9 was a low-cost year in comparison to years prior. In addition, the average safety buffer appears to be in for around 30-40k - this information formed the basis of my chosen safety buffer (about 40k if an increase in actual expense is taken into consideration. ",132033,,,,I will stick to my budgeted expenses,,,No,8,Most of my experience revolves around people-facing roles in the creative industry.,Best of luck with the research :),5d801d303f019e001804c468,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179330
08/03/2024 15:40,08/03/2024 15:48,IP Address,90.211.114.152,100,500,TRUE,08/03/2024 15:49,R_7Lh4y2eZkgRZuZl,,,,,53.7037,-1.639,anonymous,EN,"Yes, I consent to participate",5c64981ca98f0700010f8c81,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,160295,"I added a buffer as previous years show that expenses vary up to around 200,000. While the last two years have been the lowest expenses yet, there is no guarantee they won't rise again so I wanted to account for the likelihood of rising to the 150,000-160,000 mark as seen in previous years, without overbudgeting too much. If we remain at/below last year's expenses then my buffer won't be excessively high (compared to previous years) either.",132033,I will stick to my budgeted expenses,,,,,,Yes,10,I have worked across the public sector and Universities in a variety of administrative and project support roles.,,5c64981ca98f0700010f8c81,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160295
08/03/2024 15:40,08/03/2024 15:49,IP Address,82.40.42.60,100,539,TRUE,08/03/2024 15:49,R_7mVlSS7HbwxkyXJ,,,,,51.397,-2.5774,anonymous,EN,"Yes, I consent to participate",5eb126c5f13db7000855c7b7,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,161903,"The last few years budgets were set too high, though is understandable given the y6/7 need for a much higher budget. I did not want to set it lower than 160000 as it was the guesstimated average of all budgets.",132033,I will stick to my budgeted expenses,,,,,,Yes,9,Software development into robotics research,,5eb126c5f13db7000855c7b7,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161903
08/03/2024 15:43,08/03/2024 15:50,IP Address,205.250.119.206,100,400,TRUE,08/03/2024 15:50,R_5WPAWGujRgpokUh,,,,,49.222,-122.6181,anonymous,EN,"Yes, I consent to participate",60fad4c0a59d0b05fed0a9f0,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,162440,"The trend for actual expenses has been decreasing at a modest rate the past two years, about a 17% average decline. Using that to guide this year as the low end, we can expect around 110,000. Knowing that there have been upswings in expense, we add that to the buffer. Without getting too complicated in our analysis, we can reduce the budget by approximately 10000. ",132033,,,,I will stick to my budgeted expenses,,,No,8,I manage operations teams for a technology company.,,60fad4c0a59d0b05fed0a9f0,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162440
08/03/2024 15:45,08/03/2024 15:50,IP Address,86.145.73.224,100,274,TRUE,08/03/2024 15:50,R_8odLgQVMrpe7TpX,,,,,51.167,0.2383,anonymous,EN,"Yes, I consent to participate",57f9238bc786ac00011ebc72,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,160027,"Budget has been reducing for last two years, as has the actual expenses. I feel therefore that reducing to 160,000 would fall in line with most recent expenses while also still offering a slight safety net.",132033,I will stick to my budgeted expenses,,,,,,Yes,5,Work as an account manager at a PR firm.,,57f9238bc786ac00011ebc72,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160027
08/03/2024 15:45,08/03/2024 15:50,IP Address,80.6.208.66,100,284,TRUE,08/03/2024 15:50,R_3OTrq4pJILEz3y4,,,,,52.6459,-1.6767,anonymous,EN,"Yes, I consent to participate",609fe1299099a3d26ab244ed,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,180670,"Compared to the trends from previous years, I have gone for around 180,000 which is a pretty average value for expenses. Furthermore relative to last year and the year before it is a pretty similar value that sits between so hopefully will be similar this year",132033,,,,I will stick to my budgeted expenses,,,No,5,Retail assistant,,609fe1299099a3d26ab244ed,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180670
08/03/2024 15:38,08/03/2024 15:51,IP Address,163.116.177.50,100,784,TRUE,08/03/2024 15:51,R_5OVgUxQBKWiZsxr,,,,,51.5088,-0.093,anonymous,EN,"Yes, I consent to participate",5ae781e5efcc690001ebf022,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,193271,"Looking at the past 4 years from Y6, the actual expenses decreased. However, this isn't guaranteed to be the case for the Y10. For the past 4 years average actual expenses were about 166k. I added safety buffer of just under 30k.",132033,,,,I will stick to my budgeted expenses,,,No,16,"Logistics / Supply chain - Material planning, currently in IT software development.",,5ae781e5efcc690001ebf022,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193271
08/03/2024 15:49,08/03/2024 15:53,IP Address,89.240.223.114,100,242,TRUE,08/03/2024 15:53,R_2fejJOgIpdohYpO,,,,,52.5674,-2.0333,anonymous,EN,"Yes, I consent to participate",5fcf580e38a75a2824e4cebd,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,160027,"Over the past two years, the actual budget has been lower that 150000. A buffer of 10000 was added.",132033,I will stick to my budgeted expenses,,,,,,Yes,1,I'm a research scientist,,5fcf580e38a75a2824e4cebd,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160027
08/03/2024 15:48,08/03/2024 15:54,IP Address,2.223.166.86,100,337,TRUE,08/03/2024 15:54,R_2uhmlvXMCgUVM2d,,,,,53.4516,-2.9147,anonymous,EN,"Yes, I consent to participate",59dcaf7124d7bf00012f09c4,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,162708,"The amuont being used has been steadily falling. The amount I have chosen is above last years spend but below the safety buffer as there is still some leeway to play with, giving other departments room for adjustment if needed.",132033,,,,I will stick to my budgeted expenses,,,No,20,Administration and Personal assistant in local government for the 15 years and now self employed.,,59dcaf7124d7bf00012f09c4,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162708
08/03/2024 15:47,08/03/2024 15:54,IP Address,86.161.57.118,100,458,TRUE,08/03/2024 15:54,R_37wkeZ5QlO00e7M,,,,,52.9538,-1.1571,anonymous,EN,"Yes, I consent to participate",5ab94e8cf69e940001d8fd25,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,180938,"The budgeted and actual expenses have been going down the last two years. But I do not know if this will continue for the next year without further information on the economic climate. Costs could go up and setting the budget at 180,000 means that even if costs went up 20-30% there would still be a safety buffer. i think the consequences of under-estimating the budget are worse than over-estimating.",132033,,,,I will stick to my budgeted expenses,,,No,6,Six years experience as a City Planner in Local Government in England.,I work in Local Government in England for a City Council which has been declared 'bankrupt' because we have run out of money. I therefore think I was likely to be more cautious in my predictions (i.e. over-estimate the budget) as I am seeing first-hand the impact of a City Council not having enough money to provide its services.,5ab94e8cf69e940001d8fd25,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180938
