Text,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining
The actual expenses for each year listed tend to l,0,0,3,0,1,2,0
I added a buffer as previous years show that expen,1,0,2,0,1,0,0
"The last few years budgets were set too high, thou",0,0,0,0,0,0,0
The trend for actual expenses has been decreasing ,1,0,1,0,0,0,0
"Budget has been reducing for last two years, as ha",0,0,0,0,0,0,0
"Compared to the trends from previous years, I have",0,0,0,0,1,0,0
"Looking at the past 4 years from Y6, the actual ex",0,0,0,0,0,0,0
"Over the past two years, the actual budget has bee",0,0,0,0,0,0,0
The amuont being used has been steadily falling. T,0,0,0,0,0,0,0
The budgeted and actual expenses have been going d,1,0,1,0,1,1,0
Wanted to cut the budget to reduce the likely unde,1,1,0,0,0,0,0
"Budgeted expenses generally rose from Y1 until Y7,",2,0,1,0,1,0,0
Looking at the data there is always quite a big su,0,0,0,0,1,0,0
I tried to select a value that was roughly on aver,0,0,1,0,1,0,0
I wanted it to be right on with the past year's bu,0,0,0,0,1,0,0
The capital budget has been dropping for the last ,1,0,1,0,1,0,0
The actual expenditure each year was well below th,0,0,0,0,0,0,0
Sufficiently large to cover the actual expenditure,0,0,1,0,0,0,0
"For the last 9 years, most of the actual expenses ",0,0,0,0,1,0,0
it will be more than the previous year,0,0,0,0,1,0,0
I took the mean value of all nine former year actu,0,0,1,0,0,0,0
The budget over the past few years has been less b,0,0,0,0,0,0,0
I am taking a chance that there is a downward tren,1,1,1,0,0,1,0
"""The general trend is to not use more than 175k fo",0,0,0,0,1,0,0
Always better and prefer to have more money left o,0,1,0,0,1,0,0
I calculated roughly the mean of the budget expens,0,0,1,0,0,0,0
"In the last year, costs continued the downward tre",2,0,0,0,0,0,0
Looking at the patterns of expenses based on previ,0,0,1,0,1,0,0
Costs have been declining year on year for the las,1,0,0,0,1,0,0
the average budget for the last 9 years comes out ,0,0,0,0,1,0,0
The buffer has grown in recent years so if expence,0,0,0,0,0,0,0
Last year was lower than the previous six years an,0,0,1,0,1,0,0
"Looking at the two previous years, the actual were",0,0,1,0,0,0,0
"The budgeted expenses started to fall from Y7, nea",0,0,1,0,1,1,0
It would be in line with the last year's expenses,0,0,0,0,0,0,0
There's been a steady reduction on expenses,0,0,0,0,0,0,0
The average actual expenses was approx 165k over t,0,0,0,0,0,0,0
"After the peak of Y7, it looks like the expenses f",0,0,1,0,1,0,0
"In the current climate, the expenses are likely to",0,0,0,0,0,0,0
Although the trend in expenses has been down wards,0,0,2,0,0,1,0
"Whilst the amoutn required has been dropping, I am",0,0,0,0,0,0,1
There has been an upwards trend in expenses over t,2,0,3,0,1,2,0
In the last 3 years actual expenses have fallen ea,0,0,0,0,0,0,0
I looked at the previous two years budgeted and ac,0,0,1,0,1,0,0
The actual expenses of 132k in y9 was the lowest i,0,4,1,0,4,0,0
My budget decision is based off the pattern on the,0,0,0,0,0,0,0
"I have set the budget at approximately 175,000 in ",1,1,1,0,1,0,0
"""When the budget increased, it did not increase by",0,0,0,0,0,0,0
"For the last two years, the actual expenses were m",0,0,0,0,0,0,0
In 5 of the 9 years the actual expenses were lower,0,0,1,0,0,0,0
"The spend has been coming down each year, so follo",0,0,0,0,0,0,0
This continues on the trend of lowering the budget,0,0,0,0,0,0,0
historically budgets appeared to have peaks and tr,0,0,2,0,0,2,0
I want to compensate for the chance that actual ex,0,0,1,0,0,1,0
Since y7 there has been a decrease in the forecast,0,0,2,0,0,2,0
132k was last year so for an increase in inflation,0,0,0,0,0,0,0
keeping a high safety buffer while lowering expens,0,1,0,0,0,0,0
"Looking at previous years, after hitting a peak in",1,0,2,0,1,0,0
I kept the budget very similiar to last year (y9).,0,1,1,0,0,0,0
Expenses are dropping year upon year. I am just co,0,0,0,0,0,0,0
"I have allowed just over 180,000 including a safet",0,0,0,0,0,0,0
Budgeted expenses seem to be usually around the 18,0,0,2,0,0,1,0
There will be some overall increase in cost which ,0,1,0,0,2,0,0
I have gone in between the last two year's budgete,0,0,0,0,0,0,0
I took an average of the Budgeting expenses over t,0,0,1,0,0,1,0
I can see that budget has increased from year 8 to,0,0,0,0,0,0,0
"Following inflation and economic growth, the budge",0,0,0,0,0,0,0
I budgeted the amount I did as I can see that the ,1,0,1,0,0,1,0
the last 2 years there has been a buffer of about ,0,1,0,0,1,0,0
I have budgeted a similar amount to the previous y,0,0,1,0,0,0,0
It has only been above 180000 3 times in the past ,0,0,0,0,0,0,0
"Without knowing what the actual expenses would be,",1,2,1,0,2,1,0
Actual expenses have been in decline for the past ,1,0,1,0,0,1,0
I can see a downward trend but to leave a buffer z,1,0,1,0,0,1,0
By creating a rough mean average between year 8 an,0,0,1,0,0,1,1
There is usually a large safety buffer but in the ,1,0,1,0,1,0,0
It provides an adequate buffer based on recent his,0,0,0,0,0,0,0
I budgeted a little less than Y9 because the trend,0,0,0,0,0,0,0
I feel £185k is a good amount compared to the prev,1,1,0,0,0,0,0
"The actual expenses has never gone above 200,000 a",0,0,1,0,1,1,0
Y9's expenses were well below the past 5 years ave,1,0,1,0,0,0,0
I wanted to build in enough of a buffer in order t,1,0,1,0,0,0,0
On average it seems that the budget for previous y,2,0,7,0,1,1,0
Expenditure rose steadily until year 7. Since then,2,0,2,0,0,1,0
i have budgeted a higher amount compared to previo,0,0,0,0,0,0,0
I budgeted less as it seems they are spending less,0,0,1,0,0,0,0
Despite the downward trend year on year in budget ,1,1,0,0,0,0,0
"The actual expenses are decreasing every year, so ",0,0,1,0,2,0,0
The optimum safety buffer would appear to be aroun,0,0,2,0,0,1,0
Actual expenses appear to be decreasing in recent ,0,0,1,0,0,0,0
I kept it around the same as last year as there ha,1,0,0,0,0,0,0
"""It is always best to budget more than actually ne",0,2,0,0,3,0,0
"""The actual expense of """"DO"""" has decreased over t",0,0,1,0,1,1,0
Without any context as to the fluctuations where t,0,0,2,0,0,0,0
"I don't want to go over budget, but I also don't w",0,0,0,0,1,0,0
I took the average of the last three years to get ,0,0,1,0,0,0,0
I have taken the sensible but important decision t,1,0,1,0,0,0,0
After two years of falling expenses the unpredicta,1,0,2,0,1,1,0
Y10 is set based on looking at the previous years ,0,0,0,0,1,0,0
"The prior year cost of 132,033 is a historical low",0,1,3,0,0,0,0
"Since Y7, both the proposed budget and actual expe",0,0,1,0,0,1,0
"After large spends in year Yrs 5,6 & 7 our total n",0,2,0,0,0,0,0
Due to the pattern of this expense decreasing over,0,0,0,0,1,0,0
"Each year expenses average around 160k, so wanted ",0,0,0,0,0,0,0
"Keeps a similar buffer to the past year, hard to l",0,1,0,0,1,0,0
Money spent in Y9 was unusually low compared to al,0,0,2,0,2,0,0
"I have decided to budget to 197000, (it was not po",0,5,2,0,2,2,0
The forecast budget for year 10 was based on the a,1,0,0,0,0,0,0
"From Y8 to Y9, there has been a largest safety buf",1,1,1,0,1,1,0
Going through the past 9 years I would expect the ,0,0,1,0,0,0,0
"Based on the limited information, in the last few ",0,0,2,0,0,1,0
In these uncertain times we are facing we find cos,1,0,4,0,2,2,0
Based on the previous years expenses I looked at t,0,0,0,0,0,0,0
The budgeted expenses in years 5 to 7 were quite h,1,2,0,0,0,0,0
The last two years have had lower actual expenses.,0,0,1,0,1,0,0
Even though there is a track record for coming in ,0,0,0,0,0,0,0
years Y6 & y7 saw a drastic increase followed by l,1,0,2,0,0,2,0
I based my estimate on computing an average of the,1,1,1,0,0,0,0
