Text,Polarity,Subjectivity,Intensity
The actual expenses for each year listed tend to l,0.091666667,0.266666667,0.091666667
I added a buffer as previous years show that expen,-0.02,0.196190476,0.02
"The last few years budgets were set too high, thou",0.012,0.321333333,0.012
The trend for actual expenses has been decreasing ,-0.171428571,0.507142857,0.171428571
"Budget has been reducing for last two years, as ha",0.055555556,0.180555556,0.055555556
"Compared to the trends from previous years, I have",0.022916667,0.429166667,0.022916667
"Looking at the past 4 years from Y6, the actual ex",-0.175,0.3,0.175
"Over the past two years, the actual budget has bee",-0.125,0.175,0.125
The amuont being used has been steadily falling. T,0.010416667,0.260416667,0.010416667
The budgeted and actual expenses have been going d,-0.050793651,0.250793651,0.050793651
Wanted to cut the budget to reduce the likely unde,0.155555556,0.5,0.155555556
"Budgeted expenses generally rose from Y1 until Y7,",0.188888889,0.35,0.188888889
Looking at the data there is always quite a big su,-0.051851852,0.162962963,0.051851852
I tried to select a value that was roughly on aver,0.023333333,0.326666667,0.023333333
I wanted it to be right on with the past year's bu,-0.047751323,0.273544974,0.047751323
The capital budget has been dropping for the last ,-0.038095238,0.342857143,0.038095238
The actual expenditure each year was well below th,0.041666667,0.367424242,0.041666667
Sufficiently large to cover the actual expenditure,0.002857143,0.159047619,0.002857143
"For the last 9 years, most of the actual expenses ",0.066,0.277333333,0.066
it will be more than the previous year,0.166666667,0.333333333,0.166666667
I took the mean value of all nine former year actu,-0.0078125,0.2890625,0.0078125
The budget over the past few years has been less b,-0.191666667,0.204166667,0.191666667
I am taking a chance that there is a downward tren,0.115064103,0.271153846,0.115064103
"""The general trend is to not use more than 175k fo",0.05,0.408333333,0.05
Always better and prefer to have more money left o,0.2,0.366666667,0.2
I calculated roughly the mean of the budget expens,-0.124305556,0.274305556,0.124305556
"In the last year, costs continued the downward tre",-0.055555556,0.111111111,0.055555556
Looking at the patterns of expenses based on previ,0.054166667,0.425694444,0.054166667
Costs have been declining year on year for the las,-0.05,0.416666667,0.05
the average budget for the last 9 years comes out ,0.015,0.345,0.015
The buffer has grown in recent years so if expence,0.075,0.405,0.075
Last year was lower than the previous six years an,-0.222222222,0.244444444,0.222222222
"Looking at the two previous years, the actual were",-0.123809524,0.20952381,0.123809524
"The budgeted expenses started to fall from Y7, nea",0,0.3,0
It would be in line with the last year's expenses,0,0.066666667,0
There's been a steady reduction on expenses,0.166666667,0.5,0.166666667
The average actual expenses was approx 165k over t,0.002083333,0.483333333,0.002083333
"After the peak of Y7, it looks like the expenses f",0.1,0.1625,0.1
"In the current climate, the expenses are likely to",0,0.7,0
Although the trend in expenses has been down wards,-0.031944444,0.385069444,0.031944444
"Whilst the amoutn required has been dropping, I am",-0.166666667,0.066666667,0.166666667
There has been an upwards trend in expenses over t,-0.125,0.450505051,0.125
In the last 3 years actual expenses have fallen ea,0,0.541666667,0
I looked at the previous two years budgeted and ac,-0.066666667,0.206666667,0.066666667
The actual expenses of 132k in y9 was the lowest i,0.14162465,0.342240896,0.14162465
My budget decision is based off the pattern on the,-0.083333333,0.083333333,0.083333333
"I have set the budget at approximately 175,000 in ",-0.105,0.488333333,0.105
"""When the budget increased, it did not increase by",0,0.1,0
"For the last two years, the actual expenses were m",-0.027063492,0.372301587,0.027063492
In 5 of the 9 years the actual expenses were lower,0.21875,0.36875,0.21875
"The spend has been coming down each year, so follo",-0.080555556,0.130555556,0.080555556
This continues on the trend of lowering the budget,0.125,0.283333333,0.125
historically budgets appeared to have peaks and tr,-0.0625,0.1875,0.0625
I want to compensate for the chance that actual ex,-0.0375,0.3125,0.0375
Since y7 there has been a decrease in the forecast,-0.115079365,0.184126984,0.115079365
132k was last year so for an increase in inflation,0,0.283333333,0
keeping a high safety buffer while lowering expens,-0.001666667,0.318333333,0.001666667
"Looking at previous years, after hitting a peak in",0.030123457,0.358765432,0.030123457
