Year,Region,Acc-ID,y,Budget y,Budget y+1,Slack,Realized_1yr_lag,Realized_2yr_lag,ds,y(t-1),y(t-2),y(t-3),yhat
2022,AG,30,1769407.06614,1824800.673,1913008.922,55393.60685999994,1710857.49536,1659027.64689,2022-01-01,1710857.49536,1659027.64689,1627394.00158,177849.45
2022,AG,31,471235.72459,486337.94,540895.2865,15102.215410000004,465105.56175,405094.50992,2022-01-01,465105.56175,405094.50992,393083.13309,255393.4
2022,AG,34,15865.61211,12107.0,10349.0,-3758.61211,13314.42335,13513.88183,2022-01-01,13314.42335,13513.88183,16846.75354,2503.8027
2022,AG,35,140826.08142,117736.178,71658.66665,-23089.90342,355453.6455,71557.41513,2022-01-01,355453.6455,71557.41513,35788.16852,14088.355
2022,AG,36,3067152.26254,2777999.43,2930677.5,-289152.83253999986,2922549.08005,2726771.84121,2022-01-01,2922549.08005,2726771.84121,2521447.79698,345976.56
2022,AG,37,316264.69522,321373.1,379636.5,5108.404779999983,282179.67156,304362.68607,2022-01-01,282179.67156,304362.68607,303620.92332,9034.034
2022,AG,39,269427.09054,261461.444,281225.641,-7965.646540000016,424416.69746,241698.95764,2022-01-01,424416.69746,241698.95764,237174.37713,311159.66
2022,AG,41,391628.14474,284338.0,71760.6,-107290.14474000002,390472.17865,307284.14139,2022-01-01,390472.17865,307284.14139,177860.2044,36096.78
2022,AG,42,328542.18477,306683.9835,319770.575,-21858.20127000002,326907.277,310543.59067,2022-01-01,326907.277,310543.59067,322074.71804,227779.84
2022,AG,43,574.45606,1347.35,944.25,772.8939399999999,582.07622,3197.85811,2022-01-01,582.07622,3197.85811,1419.85087,82.765785
2022,AG,44,251912.01292,226330.47635,164283.552,-25581.53657,334059.85617,162944.2956,2022-01-01,334059.85617,162944.2956,133073.99288,32682.574
2022,AG,45,17880.85735,44116.21005,6377.9,26235.352700000003,54060.88924,119934.74239,2022-01-01,54060.88924,119934.74239,52429.916,25953.695
2022,AG,46,2083501.6064,2047529.544,2165878.984,-35972.06239999994,2202467.9044,1918227.42853,2022-01-01,2202467.9044,1918227.42853,1770647.10312,17860.246
2022,AG,47,316264.69522,321373.1,379636.5,5108.404779999983,282179.67156,304362.68607,2022-01-01,282179.67156,304362.68607,303620.92332,254137.61
2022,AG,49,269427.09054,261461.444,281225.641,-7965.646540000016,424416.69746,241698.95764,2022-01-01,424416.69746,241698.95764,237174.37713,196806.66
2022,AG,50,242845.32471,300905.91505,255864.03635,58060.59034000002,252304.80121,282044.73147,2022-01-01,252304.80121,282044.73147,221763.41771,151086.55
2022,AG,56,46836.9488,54328.9,49195.0,7491.951200000003,66221.67024,76105.75532,2022-01-01,66221.67024,76105.75532,49288.78435,9266.862
2022,AG,57,2133.33315,6517.5,3499.6,4384.16685,3427.95719,1961.0352,2022-01-01,3427.95719,1961.0352,4982.1137,1089.503
2022,AG,60,655.85072,604.746,0.0,-51.10472000000004,0.0,442.1183,2022-01-01,442.1183,2019.934,1349.772,454.68793
2019,AG,61,25.848,0.0,0.0,0.0,1.1609,325.59918,2019-01-01,1.1609,325.59918,-89.79822,-12.7385435
2022,AG,63,78308.76562,83228.412,69769.118,4919.646379999991,83204.07535,92049.69357,2022-01-01,83204.07535,92049.69357,69856.5949,30223.848
2022,AG,66,6.2409,0.0,0.0,0.0,75.39129,375.66281,2022-01-01,75.39129,375.66281,528.45262,89.32409
2022,AG,67,2133.33315,6517.5,3499.6,4384.16685,3427.95719,1961.0352,2022-01-01,3427.95719,1961.0352,4982.1137,1551.6135
2022,AI,30,28922.5,29102.0,31232.5,179.5,28195.5,28555.1,2022-01-01,28195.5,28555.1,26114.0,6407.3945
2022,AI,31,16025.4,18618.0,20217.0,2592.6000000000004,16317.8,16231.5,2022-01-01,16317.8,16231.5,15608.7,14110.377
2022,AI,34,3111.7,44.0,38.0,-3067.7,29.9,225.3,2022-01-01,29.9,225.3,192.5,5.5639687
2022,AI,35,963.5,239.0,325.0,-724.5,1145.6,2369.4,2022-01-01,1145.6,2369.4,4204.0,666.73535
2022,AI,36,89230.0,84848.7,88381.9,-4381.300000000003,87301.0,82632.4,2022-01-01,87301.0,82632.4,80662.8,3667.1104
2022,AI,37,23010.1,24090.0,23745.0,1079.9000000000017,23204.6,23398.0,2022-01-01,23204.6,23398.0,22410.3,23013.408
2022,AI,39,10029.7,9467.9,9574.0,-561.8000000000011,9137.3,8880.5,2022-01-01,9137.3,8880.5,8586.8,4652.3867
2022,AI,41,8716.6,8618.0,6221.0,-98.60000000000036,8629.0,6088.1,2022-01-01,8629.0,6088.1,3521.9,1239.4122
2022,AI,42,14166.7,12892.0,13476.5,-1274.7000000000007,14446.7,15638.2,2022-01-01,14446.7,15638.2,13992.0,13961.34
2022,AI,43,296.5,230.0,239.0,-66.5,530.6,235.3,2022-01-01,530.6,235.3,215.5,24.99925
2022,AI,44,11743.6,11232.5,11220.0,-511.1000000000004,11612.2,12123.3,2022-01-01,11612.2,12123.3,15137.4,7334.1724
2022,AI,45,6439.1,3316.0,3443.8,-3123.1000000000004,4664.1,971.9,2022-01-01,4664.1,971.9,685.2,124.21492
2022,AI,46,45417.2,42694.0,42820.2,-2723.199999999997,45300.4,45061.6,2022-01-01,45300.4,45061.6,45892.5,15211.479
2022,AI,47,23010.1,24090.0,23745.0,1079.9000000000017,23204.6,23398.0,2022-01-01,23204.6,23398.0,22410.3,4859.9126
2022,AI,49,10029.7,9467.9,9574.0,-561.8000000000011,9137.3,8880.5,2022-01-01,9137.3,8880.5,8586.8,477.48306
2022,AI,50,15390.2,19235.0,15349.0,3844.7999999999993,15523.6,15986.8,2022-01-01,15523.6,15986.8,14488.9,99.41765
2022,AI,54,311.5,497.0,699.0,185.5,24.0,38.5,2022-01-01,24.0,38.5,5.0,4.262829
2022,AI,56,3425.8,4163.0,1930.0,737.1999999999998,532.6,1005.7,2022-01-01,532.6,1005.7,987.6,216.8742
2022,AI,63,1445.2,600.0,650.0,-845.2,1063.6,1376.0,2022-01-01,1063.6,1376.0,1198.4,1415.3793
2022,AI,64,43.4,0.0,0.0,0.0,41.8,37.5,2022-01-01,41.8,37.5,109.3,38.49314
2022,AI,66,654.5,750.0,1020.0,95.5,972.7,1169.0,2022-01-01,972.7,1169.0,1270.5,1204.1564
2022,AR,30,103788.1,100792.0,106851.2,-2996.100000000006,100102.7,97011.3,2022-01-01,100102.7,97011.3,94589.0,1399.4188
2022,AR,31,50874.8,51929.4,54571.5,1054.5999999999983,49558.2,44028.7,2022-01-01,49558.2,44028.7,48221.5,41782.445
2022,AR,34,1333.2,1543.6,1406.8,210.39999999999984,1599.8,7435.3,2022-01-01,1599.8,7435.3,1763.3,321.20877
2022,AR,35,793.7,67.3,285.3,-726.4000000000001,400.7,454.8,2022-01-01,400.7,454.8,0.0,16.970802
2022,AR,36,266396.3,270010.3,293579.2,3614.0,270457.8,265440.6,2022-01-01,270457.8,265440.6,257457.6,215367.73
2022,AR,37,40849.4,40113.7,40954.8,-735.7000000000044,40040.3,40156.7,2022-01-01,40040.3,40156.7,39630.9,20312.451
