ds,y,yhat,yhat_lower,yhat_upper,Region,Acc-ID
2022-01-01,1769407.06614,1678167.7715838337,1638720.7259865566,1717715.3776237909,AG,30
2022-01-01,471235.72459,450520.9051071493,421367.84515311656,478558.79687033815,AG,31
2022-01-01,176835.45829,296705.6184217526,296705.6177998446,296705.6192726471,AG,33
2022-01-01,15865.61211,-75271.32595743472,-176325.17801219964,28024.955767091444,AG,34
2022-01-01,140826.08142,175949.373564993,25761.122765230728,318190.5786621133,AG,35
2022-01-01,3067152.26254,3454500.3074565977,2881492.4219986093,4009008.3128319727,AG,36
2022-01-01,316264.69522,188541.13941116998,73169.249128115,309251.82579257083,AG,37
2022-01-01,176417.15957,285163.15279801504,285163.1519430299,285163.15351219825,AG,38
2022-01-01,269427.09054,329595.806083796,242818.95315782752,425182.0283314634,AG,39
2022-01-01,2692885.1047,2650541.4371505696,2650541.4309377414,2650541.444471046,AG,40
2022-01-01,391628.14474,324748.13856195385,238693.76307903553,411253.0036486391,AG,41
2022-01-01,328542.18477,339618.94647856546,297502.5326070957,384034.431297463,AG,42
2022-01-01,574.45606,-31566.52502201489,-53612.841725827704,-9604.68215647707,AG,43
2022-01-01,251912.01292,200123.62858425666,134460.7524897008,269898.38263209176,AG,44
2022-01-01,17880.85735,85422.1517302092,36989.56093437146,140268.7837679552,AG,45
2022-01-01,2083501.6064,2459311.357702983,2106590.366170445,2782088.5200327877,AG,46
2022-01-01,316264.69522,241545.27017905476,179661.62083448644,305726.7238230027,AG,47
2022-01-01,47136.39842,34886.058138945016,34886.05802732352,34886.05828212848,AG,48
2022-01-01,269427.09054,329595.806083796,242020.23793257403,414737.3059264798,AG,49
2022-01-01,242845.32471,232140.17989985365,208053.43441772915,259110.05220302695,AG,50
2022-01-01,46836.9488,67091.80552291215,57593.842588701045,76950.45507645627,AG,56
2022-01-01,2133.33315,-3456.4899788811235,-10834.032062683586,4225.579603352608,AG,57
2022-01-01,655.85072,,,,AG,60
2022-01-01,78308.76562,110523.42540021928,81802.93656390143,140617.79862664096,AG,63
2022-01-01,6.2409,-4452.996352348733,-9476.119159446063,141.73571349764362,AG,66
2022-01-01,2133.33315,-246.6691684057514,-3971.2058354172054,3741.3662306442116,AG,67
2022-01-01,28922.5,29378.959348062403,28999.751554836424,29787.19426961891,AI,30
2022-01-01,16025.4,18099.422491253143,16980.24149571001,19232.598230322328,AI,31
2022-01-01,8391.8,9880.332798703246,9880.332777375239,9880.332822050968,AI,33
2022-01-01,3111.7,-3584.924300154107,-8480.137092795265,1885.051870484838,AI,34
2022-01-01,963.5,2392.6826473417323,1079.0128296865553,3772.492844157592,AI,35
2022-01-01,89230.0,104287.54715768242,89803.88580558372,119417.50144725823,AI,36
2022-01-01,23010.1,22121.66760372261,21384.288204386823,22844.14435248348,AI,37
2022-01-01,8995.0,2694.518074375984,2694.51802851774,2694.5181167068868,AI,38
2022-01-01,10029.7,9505.614102856303,9282.623515568559,9714.487865782476,AI,39
2022-01-01,70550.7,65640.14904585393,65640.14887260212,65640.14919279843,AI,40
2022-01-01,8716.6,4974.428195166809,2595.740776484254,7386.046318179091,AI,41
2022-01-01,14166.7,14329.459276363408,13184.44366227599,15312.256674679933,AI,42
2022-01-01,296.5,-432.9854377995707,-2316.0648558346015,1531.638618265775,AI,43
2022-01-01,11743.6,12537.178572266446,11030.26067727364,13937.90652104906,AI,44
2022-01-01,6439.1,3201.95852904902,-966.9940893171135,7410.615831175033,AI,45
2022-01-01,45417.2,57709.6738407737,47336.984396941036,68212.11233242897,AI,46
2022-01-01,23010.1,25985.11813172177,23759.746235959716,28277.062741419384,AI,47
2022-01-01,3935.2,859.6155937113929,859.6155879304147,859.615599343716,AI,48
2022-01-01,10029.7,9505.614102856303,9262.055215545324,9723.912082349263,AI,49
2022-01-01,15390.2,15738.701878613132,12277.717915132134,19116.41780467611,AI,50
2022-01-01,756.3,234.95240833337343,234.9524065866406,234.9524103029817,AI,52
2022-01-01,311.5,30.988331932530073,-37.5631190260755,97.99829460576542,AI,54
2022-01-01,3425.8,660.4312253585599,-559.9228720228155,1911.0124241512442,AI,56
2022-01-01,0.0,142.58540718536884,67.81718566744516,218.78722987260204,AI,61
2022-01-01,1445.2,1295.4513542492393,620.537954961259,1964.7312789166203,AI,63
2022-01-01,43.4,-72.29520013500041,-843.4057960810676,625.0938597375158,AI,64
2022-01-01,654.5,1288.0314421830328,620.7278219908144,1908.5178182166455,AI,66
2022-01-01,241493.1,222223.95278468367,210417.2357260483,232911.98818894985,AR,10
2022-01-01,189769.1,157981.1316939443,151260.4249594667,165147.55978215186,AR,14
2022-01-01,216589.5,201564.89414549578,186276.58161677592,216515.56413878652,AR,20
2022-01-01,214672.5,187934.86725168972,185225.89008651712,190731.40486995302,AR,29
2022-01-01,103788.1,101968.13190284562,97630.29531616946,106394.86625466538,AR,30
2022-01-01,50874.8,51806.66034706479,47839.28164382904,55843.714477949965,AR,31
2022-01-01,16210.7,30047.27832370413,30047.27824828073,30047.278409150185,AR,33
2022-01-01,1333.2,-9678.125590129406,-16861.152727928704,-2153.692321374104,AR,34
2022-01-01,793.7,-6374.698673251505,-24281.284272139503,14062.430484692064,AR,35
2022-01-01,266396.3,324724.69218484545,272028.85622377304,382108.1594677049,AR,36
2022-01-01,40849.4,30992.693950775312,20229.445551241974,41613.80091623418,AR,37
2022-01-01,37175.8,33598.95845599927,30809.10864306619,36714.529947020674,AR,39
2022-01-01,222642.0,205897.48872736335,205897.48828505096,205897.4891986937,AR,40
2022-01-01,29611.8,8729.99067574581,-1966.3529323267417,19200.12084379559,AR,41
2022-01-01,28238.5,23892.355168784503,7059.997602950843,39141.563354468795,AR,42
2022-01-01,5763.3,2642.6867099483316,2049.251113740063,3245.2486590046624,AR,43
2022-01-01,10047.2,9240.233301283482,4360.058143449214,13493.128652743868,AR,44
2022-01-01,428.4,151.83255158054635,-757.1221823479099,1119.843134609252,AR,45
2022-01-01,180421.7,214031.1035429768,183676.30459046204,244385.15557721804,AR,46
2022-01-01,40849.4,36237.54747229099,31243.25977626264,41123.16342823131,AR,47
2022-01-01,10732.8,23833.88259323629,23833.88253175583,23833.8826583967,AR,48
2022-01-01,37175.8,33567.27288674025,30474.689340207315,36651.33503735978,AR,49
2022-01-01,19819.6,5591.741317832057,-7930.9761449443695,19969.106321084415,AR,50
2022-01-01,2440.1,978.761237832661,-482.71141467597414,2450.6207121966436,AR,52
2022-01-01,3329.1,-9322.43103277811,-35968.08969025689,14111.267175316298,AR,54
2022-01-01,135.9,2068.50565612128,-1150.2673175216519,5770.188935504379,AR,55
2022-01-01,5309.9,7498.580240524384,2957.5432287136746,11504.355489610614,AR,56
2022-01-01,3978.1,4596.031243247021,3654.8706412551296,5476.316131666949,AR,57
2022-01-01,3585.3,3917.4674907753124,501.0948544687091,7379.275032061253,AR,63
2022-01-01,3197.2,9260.493201048952,-4154.994577714289,22406.141178891445,AR,64
2022-01-01,3978.1,4599.381692391282,3690.565801942216,5497.519317108915,AR,67
2022-01-01,5274422.8,6327660.588499825,6013547.242953528,6652764.559237319,BE,10
2022-01-01,6950599.8,6644225.315256665,6535411.112059926,6751489.789362966,BE,14
2022-01-01,11204820.6,12344137.098876461,11917610.883828826,12776901.780553358,BE,20
2022-01-01,1020202.0,590796.027324658,448290.95489689236,741258.0160521265,BE,29
2022-01-01,3150201.2,2776071.9786107894,2607676.2482020925,2960359.0549391652,BE,30
2022-01-01,906239.3,972953.440203703,928789.3223838663,1016182.8654259994,BE,31
2022-01-01,282257.7,267357.7533175636,267357.7386742269,267357.7693832122,BE,33
2022-01-01,64178.4,-206361.4272283644,-702323.5752502023,339047.2330249838,BE,34
2022-01-01,95074.8,510299.4237676342,-196753.84726174417,1219082.8237562857,BE,35
2022-01-01,6606185.5,8233850.284756845,6912398.969122133,9497397.78400454,BE,36
2022-01-01,591595.5,354057.87043709424,54812.00602584372,635299.7733421976,BE,37
2022-01-01,14527.9,4784.8037803448315,4784.803703878061,4784.803834777717,BE,38
2022-01-01,158505.1,191333.71905242588,131981.3023179454,252282.40526931614,BE,39
2022-01-01,5845854.9,5800047.002328163,5800046.983558901,5800047.0174826,BE,40
2022-01-01,539156.6,255253.70199975633,47152.60255022465,462251.2302788407,BE,41
2022-01-01,578319.8,761114.5831152226,548423.7530008599,982576.1284241145,BE,42
2022-01-01,3215.0,-16552.218543078518,-144104.8051396151,116187.43658956538,BE,43
2022-01-01,311879.5,342055.1362226624,68543.56111565887,612757.7798688201,BE,44
2022-01-01,92298.6,320689.1590756556,-168449.62335901018,763925.1695879534,BE,45
2022-01-01,4102341.8,5254379.011914537,4370708.718884225,6118692.760064535,BE,46
2022-01-01,591595.5,451855.762938695,300027.7818981783,607605.4154064907,BE,47
2022-01-01,3414.3,-44676.26162495058,-44676.2617200449,-44676.26151395483,BE,48
2022-01-01,158505.1,191333.95757015763,127511.01658912869,253861.9174553768,BE,49
2022-01-01,308417.7,159306.10865008947,65073.00331154331,249147.07596351547,BE,50
2022-01-01,181.8,-198.56131055577714,-198.5613218059406,-198.561299192451,BE,51
2022-01-01,28990.6,40187.6681540469,19160.113773514764,61787.18364215738,BE,52
2022-01-01,27279.9,39484.038596367594,21283.92198801802,58231.1381271782,BE,54
2022-01-01,337145.0,123419.78444027962,88964.80856556595,154563.82226870948,BE,56
