Realized,Predicted,Budget y
24271.75351,37344.105,23165.2
127744.3808,126237.74,125632.0
1062674.01318,1049347.4,1039106.30772
1544.60723,18342.271,1839.0
1481953.08711,1553201.8,1509817.1194000002
206563.55574,225333.23,174104.39432
138014.89155,174634.97,137791.259
1038337.79565,958390.56,925929.455
127744.3808,133668.77,125632.0
3059.47499,9037.433,2227.797
19999.05636,12290.784,17069.174
23984.71879,52690.42,27584.49
89311.74441,103484.734,113017.0
778.6465999999999,10912.7705,1450.0
2898.9149,12864.464,3075.0
3377.58448,7874.912,3250.0
898.802489999994,-18031.914,0.0
2564.25785,27376.305,7373.0
13771.01762,30153.629,2661.8
27290.828,25265.684,27290.828
59977.55404,68716.195,60568.80162
488433.6524800001,495521.8,492326.60822000005
3976.68955,5037.4463,7930.0
296620.29856,274510.56,203083.0
92033.50282,100878.04,90905.0
35332.66324,31596.844,39659.0
5282.89444,22857.871,4339.0
69650.45543,45531.938,45808.0
55000.0,32694.764,0.0
16597.0012,6880.329,27941.0
22411.2558,15374.942,19025.0
739.48538,5791.975,943.0
1376.025,3343.448,1390.0
10000.0,9363.894,10000.0
8059.888650000001,6553.1045,6900.0
6307.491,3719.9465,5750.0
449.2184,1459.2455,107.0
2352.703,2818.8398,1340.0
10000.0,6735.373,10000.0
6307.491,5065.667,5750.0
912465.57105,744075.3,745520.0
303790.15665,339765.75,313613.0
446529.19758,447707.94,417126.0
769726.53012,787121.25,642007.0
247253.04692,201503.47,215500.0307
84409.5,103503.44,84354.6
3941.172,582.05975,4649.2
2326.327,4532.5615,1389.9
425678.4,463332.7,423159.0
194299.5,188899.27,183119.0
3521.4323,-1972.9755,652.1
30979.8,77555.92,45693.0
1204793.7,1236002.8,1175108.0
295786.9,311855.7,311930.0
180931.7,177917.83,184059.0
978415.9,1026152.1,923550.0
142768.7,182100.19,100797.0
160194.0,187832.06,150710.0
7489.8,15652.485,7115.0
23643.7,51769.395,15785.0
560123.5,702623.4,530750.0
295786.9,319797.12,311930.0
180931.7,188460.06,184059.0
9251.4,71900.47,6983.0
96193.0,128407.52,82342.0
26717.5,86560.26,18611.0
234165.7421,204899.78,239227.2
120485.9588,114799.945,117535.6
21611.1886,3688.2993,35040.3
40134.0965,31411.443,22251.2
951490.7608,977209.56,971637.0
124529.1744,100191.2,122324.5
94279.1027,91260.164,89844.0
792490.001,897139.75,734300.0
81400.1158,113604.24,80472.0
57209.420600000005,38878.133,54424.6
9125.5713,12980.649,8221.0
329.0,-5536.338,329.0
489074.186,585999.1,508299.4
124529.1744,122472.14,122324.5
94279.1027,97415.82,89844.0
3740.3538,63279.08,2630.8
55120.2819,26687.438,46448.1
49957.1224,50678.492,65221.8
6600.0365,7188.5522,2500.0
3377.58448,9897.224,3250.0
512.76692,11243.716,446.0
38178.3,35405.164,37904.9
48650.5508,59093.01,35084.0
1095.0,5925.708,980.0
353631.3,328822.97,260903.365
345304.3,340331.9,358719.344
361648.9,349175.25,330175.695
337286.60000000003,321059.34,289447.014
59827.7,56664.92,59204.7
29052.2,30311.617,27969.2
2310.7,5713.5933,2809.6
976.9,2923.772,330.4
165867.4,191179.83,172426.7
38024.4,44661.844,39339.6
23749.0,23619.023,24945.9
125822.5,124806.15,124605.0
14022.1,22695.732,14166.2
4348.9,2453.6997,3771.7
402.0,-1029.6409,370.7
92111.0,117073.8,90411.7
38024.4,59443.414,39339.6
23749.1,27239.611,24945.9
217.2,1476.0519,349.8
18287.1,13804.007,19114.0
